,ZTF_Name,SNID_Class,Class,Version
316,ZTF19acyogvo,Ia-norm,Ia,ZTF19acyogvo_20191231_P60_v1.ascii
317,ZTF19adajqcq,Ia-norm,Ia,ZTF19adajqcq_20200103_P60_v1.ascii
318,ZTF19adalouc,Ia-norm,Ia,ZTF19adalouc_20200108_P60_v3.ascii
319,ZTF19adcdzjm,Ia-norm,Ia,ZTF19adcdzjm_20200116_P60_v1.ascii
320,ZTF19adcecwu,Ia-norm,Ia,ZTF19adcecwu_20200229_P60_v1.ascii
321,ZTF20aaaboph,Ia-norm,Ia,ZTF20aaaboph_20200103_P60_v1.ascii
322,ZTF20aaawbxl,Ia-norm,Ia,ZTF20aaawbxl_20200105_P60_v1.ascii
323,ZTF20aaawmxq,Ia-norm,Ia,ZTF20aaawmxq_20200115_P60_v1.ascii
324,ZTF20aaayaet,Ia-norm,Ia,ZTF20aaayaet_20200108_P60_v1.ascii
325,ZTF20aabqjht,Ia-91T,Ia,ZTF20aabqjht_20200124_P60_v1.ascii
326,ZTF20aacbyoh,IIP,II,ZTF20aacbyoh_20200104_P60_v1.ascii
327,ZTF20aacciep,Ia-norm,Ia,ZTF20aacciep_20200104_P60_v1.ascii
328,ZTF20aacwxut,Ia-norm,Ia,ZTF20aacwxut_20200114_P60_v2.ascii
329,ZTF20aadzwnu,Ia-norm,Ia,ZTF20aadzwnu_20200113_P60_v1.ascii
330,ZTF20aaerqjd,Ia-norm,Ia,ZTF20aaerqjd_20200124_P60_v1.ascii
331,ZTF20aaetvkh,Ia-norm,Ia,ZTF20aaetvkh_20200113_P60_v1.ascii
332,ZTF20aaewban,Ia-norm,Ia,ZTF20aaewban_20200114_P60_v1.ascii
333,ZTF20aafdglk,Ia-norm,Ia,ZTF20aafdglk_20200124_P60_v1.ascii
334,ZTF20aafvzhu,Ia-norm,Ia,ZTF20aafvzhu_20200124_P60_v1.ascii
335,ZTF20aafwbcs,Ia-norm,Ia,ZTF20aafwbcs_20200126_P60_v1.ascii
336,ZTF20aagfjlj,Ia-norm,Ia,ZTF20aagfjlj_20200123_P60_v2.ascii
337,ZTF20aaghnxd,Ia-norm,Ia,ZTF20aaghnxd_20200126_P60_v1.ascii
338,ZTF20aagzchj,Ia-norm,Ia,ZTF20aagzchj_20200127_P60_v1.ascii
339,ZTF20aahkgcz,Ia-norm,Ia,ZTF20aahkgcz_20200213_P60_v1.ascii
340,ZTF20aahqbib,Ia-norm,Ia,ZTF20aahqbib_20200128_P60_v1.ascii
341,ZTF20aahqcup,Ia-norm,Ia,ZTF20aahqcup_20200201_P60_v1.ascii
342,ZTF20aaifyrs,Ia-norm,Ia,ZTF20aaifyrs_20200129_P60_v1.ascii
343,ZTF20aairvsi,Ia-norm,Ia,ZTF20aairvsi_20200201_P60_v1.ascii
344,ZTF20aalkfui,Ia-norm,Ia,ZTF20aalkfui_20200206_P60_v1.ascii
345,ZTF20aalmeaj,Ia-norm,Ia,ZTF20aalmeaj_20200219_P60_v1.ascii
346,ZTF20aalyeut,Ia-norm,Ia,ZTF20aalyeut_20200218_P60_v1.ascii
347,ZTF20aamdqiz,Ia-norm,Ia,ZTF20aamdqiz_20200213_P60_v1.ascii
348,ZTF20aamgdkb,Ia-norm,Ia,ZTF20aamgdkb_20200215_P60_v1.ascii
349,ZTF20aamizsz,Ia-norm,Ia,ZTF20aamizsz_20200214_P60_v1.ascii
350,ZTF20aamksoq,Ia-norm,Ia,ZTF20aamksoq_20200218_P60_v1.ascii
351,ZTF20aamntsk,Ia-norm,Ia,ZTF20aamntsk_20200220_P60_v1.ascii
352,ZTF20aamqxyi,Ia-norm,Ia,ZTF20aamqxyi_20200216_P60_v1.ascii
353,ZTF20aamttmo,Ia-norm,Ia,ZTF20aamttmo_20200217_P60_v1.ascii
354,ZTF20aanadof,IIP,IIP,ZTF20aanadof_20200214_P60_v1.ascii
355,ZTF20aanbvqg,Ia-norm,Ia,ZTF20aanbvqg_20200219_P60_v1.ascii
356,ZTF20aandwrl,Ia-norm,Ia,ZTF20aandwrl_20200220_P60_v1.ascii
357,ZTF20aansmlm,Ia-norm,Ia,ZTF20aansmlm_20200219_P60_v1.ascii
358,ZTF20aansmsj,Ia-norm,Ia,ZTF20aansmsj_20200227_P60_v1.ascii
359,ZTF20aanvpzo,Ia-norm,Ia,ZTF20aanvpzo_20200220_P60_v1.ascii
360,ZTF20aanvqhk,Ia-norm,Ia,ZTF20aanvqhk_20200220_P60_v1.ascii
361,ZTF20aaodkvl,Ia-norm,Ia,ZTF20aaodkvl_20200217_P60_v1.ascii
362,ZTF20aapcmur,Ia-norm,Ia,ZTF20aapcmur_20200225_P60_v1.ascii
363,ZTF20aaqpxtm,Ia-91T,Ia,ZTF20aaqpxtm_20200306_P60_v1.ascii
364,ZTF20aarcpql,Ia-norm,Ia,ZTF20aarcpql_20200305_P60_v1.ascii
365,ZTF20aascttq,Ia-norm,Ia,ZTF20aascttq_20200304_P60_v1.ascii
366,ZTF20aascwvz,Ia-norm,Ia,ZTF20aascwvz_20200306_P60_v1.ascii
367,ZTF20aasivxr,Ia-norm,Ia,ZTF20aasivxr_20200305_P60_v1.ascii
368,ZTF20aasiwcu,Ia-norm,Ia,ZTF20aasiwcu_20200305_P60_v1.ascii
369,ZTF20aasmueu,Ia-norm,Ia,ZTF20aasmueu_20200306_P60_v1.ascii
370,ZTF20aasoarv,Ia-91T,Ia,ZTF20aasoarv_20200306_P60_v1.ascii
371,ZTF20aaszzez,Ia-norm,Ia,ZTF20aaszzez_20200331_P60_v2.ascii
372,ZTF20aatpqps,Ia-norm,Ia,ZTF20aatpqps_20200331_P60_v1.ascii
373,ZTF20aattqbi,Ia-norm,Ia,ZTF20aattqbi_20200329_P60_v1.ascii
374,ZTF20aattqye,Ia-norm,Ia,ZTF20aattqye_20200401_P60_v1.ascii
375,ZTF20aatvzmm,Ia-norm,Ia,ZTF20aatvzmm_20200331_P60_v1.ascii
376,ZTF20aatzhhl,IIP,II,ZTF20aatzhhl_20200415_P60_v1.ascii
377,ZTF20aatzwgk,Ia-91bg,Ia,ZTF20aatzwgk_20200414_P60_v1.ascii
378,ZTF20aaumsrr,Ia-norm,Ia,ZTF20aaumsrr_20200417_P60_v1.ascii
379,ZTF20aauodrj,IIP,II,ZTF20aauodrj_20200426_P60_v1.ascii
380,ZTF20aaurhzc,Ia-norm,Ia,ZTF20aaurhzc_20200417_P60_v1.ascii
381,ZTF20aaurknv,Ia-norm,Ia,ZTF20aaurknv_20200417_P60_v1.ascii
382,ZTF20aaurzce,Ia-norm,Ia,ZTF20aaurzce_20200423_P60_v1.ascii
383,ZTF20aautscv,Ia-norm,Ia,ZTF20aautscv_20200424_P60_v2.ascii
384,ZTF20aauuiri,Ia-norm,Ia,ZTF20aauuiri_20200425_P60_v1.ascii
385,ZTF20aauwjla,Ia-norm,Ia,ZTF20aauwjla_20200428_P60_v1.ascii
386,ZTF20aauxgjf,Ia-norm,Ia,ZTF20aauxgjf_20200424_P60_v1.ascii
387,ZTF20aavnnat,Ia-norm,Ia,ZTF20aavnnat_20200424_P60_v1.ascii
388,ZTF20aavrloz,Ia-norm,Ia,ZTF20aavrloz_20200425_P60_v1.ascii
389,ZTF20aavrzha,Ia-norm,Ia,ZTF20aavrzha_20200423_P60_v1.ascii
