Version,ZTF_Name,z_sntemplate,z_rlap,z_snid,z_snid_err,z_level,rank_1,sntemplate_1,rlap_1,c_snid_1,z_snid_1,z_snid_err_1,age_1,age_flag_1,rank_2,sntemplate_2,rlap_2,c_snid_2,z_snid_2,z_snid_err_2,age_2,age_flag_2,rank_3,sntemplate_3,rlap_3,c_snid_3,z_snid_3,z_snid_err_3,age_3,age_flag_3,rank_4,sntemplate_4,rlap_4,c_snid_4,z_snid_4,z_snid_err_4,age_4,age_flag_4,rank_5,sntemplate_5,rlap_5,c_snid_5,z_snid_5,z_snid_err_5,age_5,age_flag_5
ZTF17aaazdba_20190303_P60_v1.ascii,ZTF17aaazdba,sn2005ke,7.46,0.0429,0.0136,1,1,sn2005ke,7.46,Ia-91bg,0.0429,0.0136,11.4,0,3,sn2006H,7.31,Ia-91bg,0.0411,0.0138,14.3,0,9,sn2005mz,6.82,Ia-91bg,0.04,0.015,18.0,0,10,sn1997bq,6.39,Ia-norm,0.0481,0.0151,40.9,0,22,sn2006oa,5.76,Ia-91T,0.2441,0.0145,-5.7,0
ZTF17aaazdba_20190304_P200_v1.ascii,ZTF17aaazdba,sn1999by,6.49,0.0332,0.0122,1,1,sn2013dx,8.48,Ic-BL,0.0747,0.002,23.0,0,2,iPTF13ajg,7.84,Ic-SLSN,1.0262,0.0021,-4.37,0,3,sn04fx,7.7,II-norm,0.1564,0.002,53.0,0,4,sn2005ek,7.48,Ic-norm,0.0298,0.0043,5.1,0,5,sn1999by,6.49,Ia-91bg,0.0332,0.0122,6.9,0
ZTF17aaazdba_20190304_P60_v1.ascii,ZTF17aaazdba,sn2005mz,6.08,0.0404,0.0152,1,1,sn1994I,7.31,Ic-norm,0.2764,0.0157,-5.4,0,2,sn2005mz,6.08,Ia-91bg,0.0404,0.0152,18.0,0,3,sn2005ke,5.86,Ia-91bg,0.043,0.0142,13.4,0,4,sn94ae,5.83,Ia-norm,0.0475,0.0126,36.2,0,5,sn2006H,5.82,Ia-91bg,0.0436,0.0159,13.4,0
ZTF17aaazdba_20190309_Gemini_N_v2.ascii,ZTF17aaazdba,sn2007ci,4.77,0.1967,0.0111,1,1,sn2007ci,4.77,Ia-norm,0.1967,0.0111,18.4,0,2,sn2007bc,3.87,Ia-norm,0.1935,0.0121,35.6,0,3,sn2007ci,3.83,Ia-norm,0.197,0.0125,21.4,0,5,sn1999ac,3.78,Ia-91T,0.1888,0.0137,39.5,0,9,sn2000cn,3.65,Ia-91bg,0.1975,0.0125,20.9,0
ZTF17aaazdba_20190310_DCT_v1.ascii,ZTF17aaazdba,sn1999cc,7.86,0.0223,0.0075,1,1,sn1999cc,7.86,Ia-norm,0.0223,0.0075,18.2,0,2,sn1989B,7.24,Ia-norm,0.0195,0.0085,18.5,0,10,sn2005bo,6.39,Ia-norm,0.0185,0.0102,21.7,0,17,ASASSN14li,5.94,TDE,0.023,0.0036,136.0,1,18,sn2013dx,5.85,Ic-BL,1.063,0.0027,23.0,0
ZTF17aaazdba_20190315_P60_v1.ascii,ZTF17aaazdba,sn2013dg,4.27,0.2648,0.0143,1,1,sn2013dg,4.27,Ic-SLSN,0.2648,0.0143,5.16,0,2,ASASSN-15lh,4.2,Ic-SLSN,0.2981,0.0191,20.28,0,3,sn96L,4.15,IIn,0.3161,0.0071,322.8,0,7,sn2007C,4.07,Ib-norm,0.4644,0.0127,13.8,0,9,sn05gj,3.76,Ia-csm,0.0529,0.0182,48.11,0
ZTF17aaazdba_20190316_NOT_v1.ascii,ZTF17aaazdba,sn2002do,6.03,0.0332,0.0094,1,1,sn2002do,6.03,Ia-norm,0.0332,0.0094,22.6,0,3,sn2005ke,5.56,Ia-91bg,0.0384,0.0149,11.4,0,4,sn2005ke,5.4,Ia-91bg,0.0398,0.0139,8.4,0,7,sn1980K,5.06,II-norm,0.039,0.0051,44.0,0,9,sn1980K,5.0,II-norm,0.0392,0.0049,41.0,0
ZTF17aaazdba_20190319_P60_v1.ascii,ZTF17aaazdba,PTF09djl,5.13,0.0245,0.0143,0,1,PTF09djl,5.13,TDE,0.0245,0.0143,2.0,0,2,sn2008D,4.99,Ib-norm,0.3001,0.0162,-11.5,0,4,sn1996L,4.67,IIn,0.3213,0.0057,322.8,0,8,sn2005eu,4.48,Ia-norm,0.459,0.0164,-7.1,0,10,PTF12dam,4.43,Ic-SLSN,0.2981,0.0093,10.38,0
ZTF17aaazdba_20190323_Gemini_N_v1.ascii,ZTF17aaazdba,sn98bw,6.25,0.2938,0.012,0,1,sn98bw,6.25,Ic-BL,0.2938,0.012,17.7,0,3,sn97dq,4.12,Ic-norm,0.4568,0.0121,222.2,1,4,sn02ap,4.1,Ic-BL,0.2927,0.0159,-2.4,0,5,SSS120810-23,4.1,Ic-SLSN,0.4808,0.0134,56.58,0,7,sn2013dx,3.99,Ic-BL,0.3042,0.0227,-1.5,0
ZTF17aaazdba_20190324_P60_v1.ascii,ZTF17aaazdba,sn2001eh,8.04,0.0484,0.0116,1,1,sn2001eh,8.04,Ia-91T,0.0484,0.0116,36.5,0,2,sn2001ah,7.3,Ia-91T,0.0462,0.0126,45.2,0,3,sn2001ej,7.12,Ib-norm,0.2818,0.0127,0.0,1,4,sn1994I,6.83,Ic-norm,0.2824,0.0159,-5.4,0,5,sn97br,6.68,Ia-91T,0.0394,0.0141,23.7,0
ZTF17aaazdba_20190328_DCT_v3.ascii,ZTF17aaazdba,sn2004gt,5.32,0.0526,0.0156,1,1,sn2004gt,5.32,Ic-norm,0.0526,0.0156,132.49,0,2,sn2002jg,5.22,Ia-norm,0.0259,0.0126,25.1,0,3,sn2010bh,5.1,Ic-BL,0.0592,0.0033,29.5,0,4,sn1998co,5.08,Ia-norm,0.0241,0.0113,22.5,0,5,sn1997E,5.06,Ia-norm,0.0256,0.0127,20.0,0
ZTF17aaazdba_20190330_P60_v1.ascii,ZTF17aaazdba,PTF09djl,6.47,0.0236,0.0101,0,1,PTF09djl,6.47,TDE,0.0236,0.0101,2.0,0,3,sn2003dh,6.09,Ic-BL,0.3986,0.0158,-9.8,0,4,sn80K,5.56,II-norm,0.4355,0.0162,66.0,0,6,sn2013cq,5.49,Ic-BL,0.3589,0.0122,-1.3,0,7,sn2013dx,5.42,Ic-BL,0.2946,0.018,2.3,0
ZTF17aaazdba_20190406_P60_v1.ascii,ZTF17aaazdba,PTF09djl,6.27,0.0238,0.0118,0,1,PTF09djl,6.27,TDE,0.0238,0.0118,31.0,0,2,sn2003dh,6.01,Ic-BL,0.396,0.0155,-9.8,0,4,ASASSN14ae,5.88,TDE,0.0179,0.0153,30.0,1,5,ASASSN14li,5.79,TDE,0.4405,0.0179,99.0,1,6,sn80K,5.74,II-norm,0.4324,0.0162,66.0,0
ZTF17aaazdba_20190417_P60_v1.ascii,ZTF17aaazdba,ASASSN14ae,7.12,0.0172,0.0125,0,1,ASASSN14ae,7.12,TDE,0.0172,0.0125,30.0,1,2,PTF09djl,6.57,TDE,0.0234,0.0114,31.0,0,3,sn1999aa,6.3,Ia-91T,0.4689,0.0143,-8.0,0,4,sn2003dh,6.14,Ic-BL,0.3917,0.0149,-9.8,0,5,sn2013dx,6.07,Ic-BL,0.2937,0.0162,2.3,0
ZTF17aaazdba_20190424_P60_v1.ascii,ZTF17aaazdba,sn90N,7.32,0.9621,0.0085,0,1,sn90N,7.32,Ia-norm,0.9621,0.0085,-6.4,0,3,SSS120810-23,6.15,Ic-SLSN,0.7381,0.0144,38.63,0,4,sn2015bn,5.83,Ic-SLSN,0.4979,0.0072,5.84,0,5,sn2013dx,5.41,Ic-BL,0.5423,0.016,-3.2,0,6,sn2008ax,5.32,IIb,0.7182,0.0101,-13.0,0
ZTF17aaazdba_20190501_Keck1_v1.ascii,ZTF17aaazdba,ASASSN14ae,9.77,0.0296,0.0085,1,1,ASASSN14ae,9.77,TDE,0.0296,0.0085,4.0,1,2,sn2001G,7.64,Ia-norm,0.4415,0.0094,122.6,0,3,sn95E,7.33,Ia-norm,0.0341,0.0113,32.7,0,4,sn06Y,7.06,II-norm,0.0351,0.0107,33.0,0,5,sn1996L,7.01,IIn,0.0253,0.009,58.1,0
ZTF17aaazdba_20190502_DCT_v1.ascii,ZTF17aaazdba,sn1979C,6.13,0.0303,0.0113,1,1,sn1979C,6.13,II-norm,0.0303,0.0113,71.6,0,3,sn2002jg,5.63,Ia-norm,0.0294,0.0124,25.1,0,6,sn97br,5.63,Ia-91T,0.467,0.0126,-6.4,0,7,sn1997E,5.59,Ia-norm,0.0299,0.0123,20.0,0,8,sn2004gt,5.56,Ic-norm,0.0577,0.0136,132.49,0
ZTF17aaazdba_20190505_Lick_3-m_v1.ascii,ZTF17aaazdba,sn95E,9.38,0.0358,0.009,1,1,sn95E,9.38,Ia-norm,0.0358,0.009,32.7,0,3,ASASSN14ae,8.78,TDE,0.029,0.0089,4.0,1,4,sn2004eo,7.52,Ia-norm,0.0355,0.0108,30.4,0,6,sn03du,7.2,Ia-norm,0.0372,0.011,31.8,0,12,sn06Y,6.55,II-norm,0.0381,0.0121,33.0,0
ZTF17aaazdba_20190513_Lick_3-m_v1.ascii,ZTF17aaazdba,sn06Y,8.54,0.036,0.0087,1,1,sn06Y,8.54,II-norm,0.036,0.0087,33.0,0,2,sn06Y,7.8,II-norm,0.0353,0.0091,36.0,0,3,sn79C,7.26,II-norm,0.0343,0.0096,71.6,0,5,sn2004eo,7.12,Ia-norm,0.0367,0.0101,21.6,0,9,sn93J,6.51,IIb,0.0302,0.0116,-2.4,0
ZTF17aaazdba_20190529_DCT_v1.ascii,ZTF17aaazdba,sn1996ai,6.84,0.0287,0.0094,1,1,sn1996ai,6.84,Ia-norm,0.0287,0.0094,25.0,0,2,sn94D,6.28,Ia-norm,0.0325,0.0107,19.2,0,3,sn1997E,6.02,Ia-norm,0.0314,0.0108,20.0,0,14,sn1979C,5.57,II-norm,0.034,0.011,71.6,0,17,ASASSN14li,5.55,TDE,0.0232,0.0099,0.0,1
ZTF17aaazdba_20190925_Keck1_v4.ascii,ZTF17aaazdba,ASASSN14li,12.26,0.0225,0.002,1,1,ASASSN14li,12.26,TDE,0.0225,0.002,136.0,1,2,sn1994I,7.1,Ic-norm,0.0431,0.0105,3.5,0,3,sn97ef,7.1,Ic-BL,0.0431,0.0134,13.8,0,4,sn1999by,6.99,Ia-91bg,0.0409,0.0093,4.0,0,13,sn2002ap,5.88,Ic-BL,0.0424,0.0137,11.6,0
ZTF17aaazdba_20191023_DCT_v1.ascii,ZTF17aaazdba,ASASSN14li,12.16,0.0225,0.0018,1,1,ASASSN14li,12.16,TDE,0.0225,0.0018,136.0,1,3,kcSa,7.01,Gal,0.0235,0.0028,-99.9,2,4,sn99by,6.6,Ia-91bg,0.0396,0.0094,7.1,0,8,sn2007al,6.43,Ia-91bg,0.0428,0.0091,10.1,0,16,sn2006T,5.55,IIb,0.0394,0.0138,-11.5,0
ZTF17aaazdba_20191105_DCT_v1.ascii,ZTF17aaazdba,sn1998de,8.44,0.0515,0.0079,1,1,ASASSN-15lh,97.43,Ic-SLSN,-0.2891,0.0,35.7,0,2,ASASSN14li,11.12,TDE,0.022,0.002,136.0,1,3,sn1998de,8.44,Ia-91bg,0.0515,0.0079,-0.3,0,5,sn1998de,7.6,Ia-91bg,0.049,0.0098,2.7,0,7,sn99by,7.18,Ia-91bg,0.0415,0.0097,6.1,0
ZTF17aaazdba_20191203_DCT_v2.ascii,ZTF17aaazdba,sn1987A,7.92,0.0686,0.0127,1,1,sn1987A,7.92,II-norm,0.0686,0.0127,-20.9,0,12,sn1991N,7.21,Ic-norm,0.0684,0.0158,0.0,1,17,sn87A,7.03,II-norm,0.0693,0.0142,-8.7,0,21,sn2010bh,6.98,Ic-BL,-0.0195,0.0163,9.7,0,26,sn2005mf,6.73,Ic-norm,0.0697,0.0163,7.0,0
ZTF17aabcpcp_20181102_P60_v1.ascii,ZTF17aabcpcp,kcS0,18.27,0.034,0.0021,1,1,kcS0,18.27,Gal,0.034,0.0021,-99.9,2,2,kcE,17.18,Gal,0.0345,0.0023,-99.9,2,3,kcSb,14.96,Gal,0.0327,0.0026,-99.9,2,4,mstar,11.21,M-star,0.0348,0.0031,0.0,2,8,iPTF13ajg,5.4,Ic-SLSN,1.0857,0.0041,-4.37,0
ZTF17aaburzk_20180717_P60_v1.ascii,ZTF17aaburzk,sn87A,7.8,0.0234,0.0089,1,1,sn87A,7.8,II-norm,0.0234,0.0089,11.3,0,2,sn2003Y,7.76,Ia-91bg,0.0333,0.0094,-6.3,0,10,sn2006ep,6.69,Ib-norm,0.0228,0.0108,8.5,0,17,sn1995F,6.39,Ic-norm,0.0267,0.0111,1.9,1,21,sn2007ax,6.16,Ia-91bg,0.0302,0.0123,-1.9,0
ZTF17aadcbei_20181117_P60_v1.ascii,ZTF17aadcbei,sn1996cb,5.48,0.2646,0.0096,0,1,sn1996cb,5.48,IIb,0.2646,0.0096,149.3,0,2,iPTF13bvn,5.27,Ib-norm,0.3215,0.0036,-12.7,0,4,sn96cb,5.23,IIb,0.2671,0.0101,152.6,0,6,sn2001gd,5.12,IIb,0.2689,0.0081,47.0,1,21,sn1994D,4.61,Ia-norm,0.2652,0.0094,-2.3,0
ZTF17aadlxmv_20200123_P60_v1.ascii,ZTF17aadlxmv,sn2003ic,6.17,0.0576,0.0113,1,1,sn2005cs,6.32,II-norm,0.0355,0.0178,56.7,0,2,sn2003ic,6.17,Ia-norm,0.0576,0.0113,3.4,0,3,sn2006cc,6.16,Ia-norm,0.0619,0.0086,-9.7,0,4,sn2005eu,6.14,Ia-norm,0.0575,0.0109,-7.1,0,6,sn2006ck,5.91,Ic-norm,0.0541,0.0151,1.0,1
ZTF18aaabltn_20181209_P60_v1.ascii,ZTF18aaabltn,agn,18.47,0.0453,0.0022,1,1,agn,18.47,AGN,0.0453,0.0022,-99.9,2,2,qso,12.86,QSO,0.0452,0.0027,-100.0,2,3,sn06bc,10.64,II-norm,0.0445,0.0033,9.0,0,4,ASASSN14ae,9.74,TDE,0.0386,0.006,30.0,1,5,kcSB3,9.69,Gal,0.0458,0.0037,-99.9,2
ZTF18aaabltn_20190502_DCT_v1.ascii,ZTF18aaabltn,qso,22.9,0.045,0.0012,1,1,qso,22.9,QSO,0.045,0.0012,-100.0,2,2,agn,21.11,AGN,0.0449,0.0014,-99.9,2,3,sn06bc,13.66,II-norm,0.0444,0.0018,9.0,0,4,kcSB3,11.93,Gal,0.0457,0.0019,-99.9,2,5,kcSB5,10.74,Gal,0.045,0.0021,-99.9,2
ZTF18aaadtdc_20181106_P60_v1.ascii,ZTF18aaadtdc,agn,30.5,0.0359,0.0013,1,1,agn,30.5,AGN,0.0359,0.0013,-99.9,2,2,qso,23.31,QSO,0.0358,0.0015,-100.0,2,3,kcSB5,14.41,Gal,0.0359,0.0024,-99.9,2,4,kcSB3,12.83,Gal,0.0366,0.0026,-99.9,2,5,sn06bc,12.54,II-norm,0.0352,0.0027,9.0,0
ZTF18aaaibml_20200212_LT_v1.ascii,ZTF18aaaibml,kcSc,21.12,0.035,0.0009,1,1,kcSc,21.12,Gal,0.035,0.0009,-99.9,2,2,kcSB4,19.83,Gal,0.0347,0.0009,-99.9,2,3,kcSB5,18.18,Gal,0.035,0.001,-99.9,2,6,agn,14.61,AGN,0.0349,0.0014,-99.9,2,7,qso,13.59,QSO,0.0351,0.0015,-100.0,2
ZTF18aaaibml_20200212_LT_v2.ascii,ZTF18aaaibml,kcSc,24.35,0.0352,0.0008,1,1,kcSc,24.35,Gal,0.0352,0.0008,-99.9,2,2,kcSB4,21.11,Gal,0.035,0.0009,-99.9,2,3,kcSB5,18.53,Gal,0.0352,0.001,-99.9,2,6,agn,14.23,AGN,0.0351,0.0015,-99.9,2,9,qso,13.05,QSO,0.0353,0.0015,-100.0,2
ZTF18aaaibml_20200214_P200_v1.ascii,ZTF18aaaibml,kcSB4,33.27,0.0346,0.0006,1,1,kcSB4,33.27,Gal,0.0346,0.0006,-99.9,2,2,kcSB5,29.66,Gal,0.0349,0.0006,-99.9,2,3,kcSc,28.58,Gal,0.0348,0.0006,-99.9,2,8,sn06bc,11.85,II-norm,0.0342,0.0016,9.0,0,9,agn,11.68,AGN,0.0345,0.0018,-99.9,2
ZTF18aaaibml_20200219_Keck1_v1.ascii,ZTF18aaaibml,kcSc,33.03,0.0348,0.0006,1,1,kcSc,33.03,Gal,0.0348,0.0006,-99.9,2,2,kcSB4,28.09,Gal,0.0345,0.0007,-99.9,2,3,kcSB5,26.31,Gal,0.0348,0.0007,-99.9,2,8,agn,16.73,AGN,0.0346,0.0014,-99.9,2,9,qso,13.57,QSO,0.0347,0.0015,-100.0,2
ZTF18aaakpbx_20180928_P60_v2.ascii,ZTF18aaakpbx,agn,10.58,0.2662,0.0026,0,1,agn,10.58,AGN,0.2662,0.0026,-99.9,2,2,qso,10.34,QSO,0.2664,0.0025,-100.0,2,3,sn2004fe,9.77,Ic-norm,0.3196,0.0029,241.22,0,4,sn2009jf,9.35,Ib-norm,0.3143,0.0041,240.0,0,5,sn98S,9.23,IIn,0.274,0.004,422.5,0
ZTF18aaakpsa_20180910_P60_v1.ascii,ZTF18aaakpsa,kcSB1,20.02,0.0157,0.0013,1,1,kcSB1,20.02,Gal,0.0157,0.0013,-99.9,2,2,kcSB2,19.6,Gal,0.0156,0.0013,-99.9,2,3,kcSc,12.37,Gal,0.0156,0.0019,-99.9,2,6,agn,7.94,AGN,0.0157,0.0034,-99.9,2,9,sn2008am,7.15,IIn,0.0156,0.0034,11.0,0
ZTF18aaaokus_20181110_P60_v1.ascii,ZTF18aaaokus,sn91N,12.2,0.0446,0.0041,0,1,sn91N,12.2,Ic-norm,0.0446,0.0041,276.1,1,3,kcSB4,8.26,Gal,0.0061,0.0039,-99.9,2,4,kcSB2,7.23,Gal,0.0063,0.0042,-99.9,2,5,kcSc,7.13,Gal,0.0064,0.0044,-99.9,2,8,qso,6.96,QSO,0.007,0.0051,-100.0,2
ZTF18aaaqexr_20200215_P60_v1.ascii,ZTF18aaaqexr,sn1991M,10.11,0.7297,0.0057,0,1,sn1991M,10.11,Ia-norm,0.7297,0.0057,111.8,0,3,sn2007bj,9.4,Ia-norm,0.7429,0.0056,42.4,0,4,sn02cs,8.96,Ia-norm,0.7411,0.0059,84.32,0,5,sn2007S,8.85,Ia-91T,0.7559,0.0062,13.1,0,32,sn2007C,7.33,Ib-norm,0.7606,0.0076,-5.71,0
ZTF18aaaqexr_20200220_P60_v1.ascii,ZTF18aaaqexr,sn04ef,9.13,0.7323,0.006,0,1,sn04ef,9.13,Ia-norm,0.7323,0.006,84.6,0,2,sn2007C,9.05,Ib-norm,0.7629,0.006,-5.71,0,3,sn2004gq,8.72,Ib-norm,0.7515,0.0063,69.5,0,4,sn1990I,7.56,Ib-norm,0.7622,0.0069,19.4,0,9,sn1986G,6.85,Ia-91bg,0.7323,0.0073,102.6,0
ZTF18aabcvnq_20180604_P60_v1.ascii,ZTF18aabcvnq,sn2005cf,6.96,0.1741,0.0084,1,1,sn2005cf,6.96,Ia-norm,0.1741,0.0084,-2.4,0,2,sn2007jg,6.92,Ia-norm,0.1868,0.009,-2.3,0,3,sn2004S,6.37,Ia-norm,0.1721,0.0094,1.6,0,49,sn2006oa,4.9,Ia-91T,0.1729,0.0116,-3.8,0,61,sn2013dx,4.74,Ic-BL,0.0429,0.022,19.5,0
ZTF18aabfxpw_20181220_P60_v1.ascii,ZTF18aabfxpw,SCP06F6,5.36,0.7996,0.0102,0,1,SCP06F6,5.36,Ic-SLSN,0.7996,0.0102,5.03,0,2,ASASSN-15lh,4.19,Ic-SLSN,0.887,0.0107,15.41,0,3,sn2008cw,4.16,IIb,1.0291,0.0097,2.0,1,4,sn96cb,4.1,IIb,1.0345,0.0084,177.3,0,5,sn2006nz,4.05,Ia-norm,0.8083,0.0133,-1.7,0
ZTF18aabicqe_20181103_P60_v1.ascii,ZTF18aabicqe,agn,35.48,0.0812,0.001,1,1,agn,35.48,AGN,0.0812,0.001,-99.9,2,2,qso,25.2,QSO,0.0813,0.0013,-100.0,2,3,sn06bc,12.5,II-norm,0.0805,0.0024,9.0,0,4,kcSB3,12.37,Gal,0.082,0.0023,-99.9,2,5,kcSB5,12.05,Gal,0.0813,0.0024,-99.9,2
ZTF18aabilqu_20180522_P200_v1.ascii,ZTF18aabilqu,qso,16.62,0.022,0.0016,1,1,qso,16.62,QSO,0.022,0.0016,-100.0,2,2,agn,15.43,AGN,0.0219,0.0017,-99.9,2,3,kcSB5,13.68,Gal,0.022,0.0016,-99.9,2,4,kcSB4,13.17,Gal,0.0217,0.0017,-99.9,2,5,kcSc,12.36,Gal,0.022,0.0018,-99.9,2
ZTF18aabilqu_20180522_P60_v1.ascii,ZTF18aabilqu,qso,11.11,0.0201,0.0033,1,1,qso,11.11,QSO,0.0201,0.0033,-100.0,2,2,kcSc,10.65,Gal,0.0198,0.0032,-99.9,2,3,agn,9.46,AGN,0.0201,0.0041,-99.9,2,4,kcSB4,9.09,Gal,0.0195,0.0038,-99.9,2,5,kcSB5,8.52,Gal,0.0199,0.004,-99.9,2
ZTF18aabssth_20180309_P60_v1.ascii,ZTF18aabssth,sn2011dh,8.07,0.0374,0.0074,1,1,sn2011dh,8.07,IIb,0.0374,0.0074,-16.6,0,3,sn87A,7.71,II-norm,0.0378,0.0074,-80.5,0,6,sn04er,7.24,II-norm,0.0177,0.0064,63.0,0,7,sn09bz,7.14,II-norm,0.0217,0.0069,28.0,0,9,sn93J,7.08,IIb,0.0256,0.008,-2.4,0
ZTF18aabtahy_20180308_P200_v1.ascii,ZTF18aabtahy,sn2012ap,5.12,0.2789,0.0031,1,1,PS1-10bzj,6.68,Ic-SLSN,0.1752,0.0024,6.55,0,2,kcSB2,5.78,Gal,0.1743,0.003,-99.9,2,3,kcSB5,5.41,Gal,0.5787,0.0025,-99.9,2,4,kcSc,5.37,Gal,0.579,0.0029,-99.9,2,6,sn2012ap,5.12,Ic-BL,0.2789,0.0031,271.1,0
ZTF18aabtxvd_20180307_P60_v1.ascii,ZTF18aabtxvd,sn2003dh,4.19,0.605,0.0207,0,1,sn2003dh,4.19,Ic-BL,0.605,0.0207,-7.3,0,2,sn87A,3.83,II-norm,0.5819,0.0107,-80.5,0,6,sn2010bh,3.46,Ic-BL,0.6474,0.0261,9.7,0,7,PTF10vgv,3.33,Ic-BL,0.7829,0.0194,8.2,0,8,sn91N,3.29,Ic-norm,0.7705,0.017,5.7,1
