,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
1655,ZTF19aarphwc,ZTF19aarphwc_20190703_P200_v1.ascii,53627001,0,8,0,3,0,0
1656,ZTF19aarprog,ZTF19aarprog_20190427_P60_v1.ascii,53627003,0,5,5,0,1,0
1657,ZTF19aarqnjw,ZTF19aarqnjw_20190427_P60_v1.ascii,53627013,5,1,2,1,1,1
1658,ZTF19aarqyyq,ZTF19aarqyyq_20190513_P200_v7.ascii,53627018,4,6,0,0,5,0
1659,ZTF19aarqyyq,ZTF19aarqyyq_20190924_Keck1_v2.ascii,53627019,2,1,0,3,4,0
1660,ZTF19aaryexs,ZTF19aaryexs_20190503_P60_v1.ascii,53627035,4,3,4,0,0,0
1661,ZTF19aarykkb,ZTF19aarykkb_20190425_HCT_v1.ascii,53627036,5,1,0,0,1,4
1662,ZTF19aarzaod,ZTF19aarzaod_20190425_SALT_v1.ascii,53627041,4,0,0,0,7,0
1663,ZTF19aasqseq,ZTF19aasqseq_20200124_Keck1_v2.ascii,53627052,1,1,3,0,1,5
1664,ZTF19aatesgp,ZTF19aatesgp_20190508_P60_v2.ascii,53627057,4,4,0,0,3,0
1665,ZTF19aatesgp,ZTF19aatesgp_20190531_P60_v1.ascii,53627059,3,0,0,0,0,8
1666,ZTF19aatfqzb,ZTF19aatfqzb_20190802_P60_v1.ascii,53627062,4,5,0,0,2,0
1667,ZTF19aatgrpm,ZTF19aatgrpm_20190704_Keck1_v1.ascii,53627066,0,5,3,2,0,2
1668,ZTF19aatheus,ZTF19aatheus_20190513_P60_v1.ascii,53627080,1,3,3,4,0,0
1669,ZTF19aatheus,ZTF19aatheus_20190926_Keck1_v1.ascii,53627091,2,1,8,0,0,0
1670,ZTF19aathllr,ZTF19aathllr_20190513_P60_v1.ascii,53627092,2,0,0,4,2,2
1671,ZTF19aathllr,ZTF19aathllr_20190530_P60_v1.ascii,53627094,1,0,0,1,1,8
1672,ZTF19aatlqdf,ZTF19aatlqdf_20190704_P200_v1.ascii,53627103,1,4,0,4,0,2
1673,ZTF19aatoboa,ZTF19aatoboa_20190504_P60_v1.ascii,53627118,2,1,3,1,3,1
1674,ZTF19aatqzim,ZTF19aatqzim_20190514_P60_v1.ascii,53627123,1,8,0,1,1,0
1675,ZTF19aatubsj,ZTF19aatubsj_20200503_P60_v1.ascii,53627142,0,3,6,0,0,2
1676,ZTF19aatvmbo,ZTF19aatvmbo_20190611_P60_v1.ascii,53627150,0,1,1,3,3,2
1677,ZTF19aauguzk,ZTF19aauguzk_20190530_P60_v1.ascii,53627159,0,0,10,1,0,0
1678,ZTF19aauhhjy,ZTF19aauhhjy_20190701_P200_v1.ascii,53627160,0,2,1,2,0,4
1679,ZTF19aauihxr,ZTF19aauihxr_20190524_P200_v1.ascii,53627165,1,3,4,0,2,1
