Version,Resolution,Superfit_c,Superfit_z,ZTF_Name,Zooniverse_c,rlap,agreement
ZTF18abolqrn_20180901_P60_v1.ascii,,,,ZTF18abolqrn,Ibn,5.74,5.0
ZTF18abosqbk_20180823_P60_v2.ascii,,,,ZTF18abosqbk,Ia-norm,4.69,5.0
ZTF18abpoynt_20180826_P60_v1.ascii,,,,ZTF18abpoynt,Ib-norm,8.42,2.0
ZTF18abrpkdw_20180902_P60_v1.ascii,,,,ZTF18abrpkdw,Ia-norm,4.78,4.0
ZTF18abrpkdw_20180912_P200_v2.ascii,,,,ZTF18abrpkdw,IIb,8.05,6.0
ZTF18abrzbyt_20180902_P60_v1.ascii,ZTF18abrzbyt_20180902_P60_v1_10,TDE H+He,0.026277,,,,
ZTF18abrzgqr_20180904_P60_v1.ascii,,,,ZTF18abrzgqr,Ib-norm,6.12,3.0
ZTF18absayvp_20180901_P60_v2.ascii,,,,ZTF18absayvp,Ia-norm,30.11,8.0
ZTF18abslbyi_20180912_P200_v2.ascii,,,,ZTF18abslbyi,Ia-norm,10.83,4.0
ZTF18absldjd_20180905_P60_v2.ascii,,,,ZTF18absldjd,II-norm,6.09,5.0
ZTF18abspjqm_20180912_P200_v2.ascii,,,,ZTF18abspjqm,Gal,9.44,7.0
ZTF18abspjqm_20181012_Keck1_v1.ascii,,,,ZTF18abspjqm,II-norm,9.79,8.0
ZTF18abtjmns_20181110_Keck1_v1.ascii,,,,ZTF18abtjmns,QSO,19.22,5.0
ZTF18abtnbys_20180913_P200_v1.ascii,,,,ZTF18abtnbys,Ia-91bg,18.92,5.0
ZTF18abtnbys_20191027_Keck1_v1.ascii,,,,ZTF18abtnbys,Gal,11.98,6.0
ZTF18abttsrb_20180912_P200_v2.ascii,,,,ZTF18abttsrb,Ib-norm,8.37,8.0
ZTF18abttsrb_20181012_Keck1_v1.ascii,,,,ZTF18abttsrb,Ia-norm,6.78,6.0
ZTF18abtyyaw_20181110_Keck1_v1.ascii,,,,ZTF18abtyyaw,Gal,10.24,8.0
ZTF18abvbpku_20180925_P60_v1.ascii,,,,ZTF18abvbpku,Ia-norm,10.1,6.0
ZTF18abwckdq_20181010_P200_v1.ascii,,,,ZTF18abwckdq,Gal,10.24,7.0
ZTF18abwckdq_20181110_Keck1_v1.ascii,,,,ZTF18abwckdq,Ic-SLSN,27.98,4.0
ZTF18abwkrbl_20190706_Keck1_v1.ascii,ZTF18abwkrbl_20190706_Keck1_v1_10,II,0.00999,,,,
ZTF18abwsmed_20180917_P200_v1.ascii,,,,ZTF18abwsmed,Ia-norm,14.17,9.0
ZTF18abwxrhi_20180918_P200_v1.ascii,,,,ZTF18abwxrhi,Gal,8.53,6.0
ZTF18abwxrhi_20181010_P200_v1.ascii,,,,ZTF18abwxrhi,Ic-SLSN,3.49,7.0
ZTF18abwxrhi_20181010_P200_v2.ascii,,,,ZTF18abwxrhi,IIn,10.83,5.0
ZTF18abxvlbj_20180927_P60_v1.ascii,,,,ZTF18abxvlbj,Ic-SLSN,4.31,4.0
ZTF18abxvlbj_20181010_P200_v1.ascii,,,,ZTF18abxvlbj,IIn,9.16,6.0
ZTF18abxwiqz_20181010_P200_v1.ascii,,,,ZTF18abxwiqz,LBV,5.0,4.0
ZTF18abxwqht_20180923_P60_v1.ascii,,,,ZTF18abxwqht,Ia-norm,14.47,8.0
ZTF18abxwqht_20180923_P60_v2.ascii,,,,ZTF18abxwqht,Ia-norm,8.84,9.0
ZTF18abxwqht_20181002_P200_v2.ascii,,,,ZTF18abxwqht,Ic-norm,15.0,6.0
ZTF18abxwqht_20181003_NOT_v1.ascii,,,,ZTF18abxwqht,Ib-norm,18.82,8.0
ZTF18abxwqht_20181009_P60_v1.ascii,,,,ZTF18abxwqht,Ic-norm,8.51,3.0
ZTF18abxwqht_20181029_P60_v1.ascii,,,,ZTF18abxwqht,Ia-norm,6.36,6.0
ZTF18abxwqht_20190403_Keck1_v1.ascii,,,,ZTF18abxwqht,II-norm,12.91,6.0
ZTF18abytyif_20180927_P60_v1.ascii,,,,ZTF18abytyif,Ia-norm,7.91,2.0
ZTF18abzsnrz_20191020_P60_v1.ascii,,,,ZTF18abzsnrz,Ic-norm,7.55,2.0
ZTF18acaahzg_20181110_Keck1_v1.ascii,,,,ZTF18acaahzg,Ib-norm,11.59,5.0
ZTF18acaahzg_20190403_Keck1_v1.ascii,,,,ZTF18acaahzg,Ia-91bg,6.76,3.0
ZTF18acagbhm_20181010_P200_v1.ascii,,,,ZTF18acagbhm,Ia-norm,10.33,4.0
ZTF18acagbhm_20181110_Keck1_v1.ascii,,,,ZTF18acagbhm,Ic-norm,13.39,4.0
ZTF18acaozwo_20181110_Keck1_v1.ascii,,,,ZTF18acaozwo,II-norm,29.93,11.0
ZTF18acaozxw_20181110_Keck1_v1.ascii,,,,ZTF18acaozxw,II-norm,14.86,6.0
ZTF18acascph_20190914_P60_v1.ascii,,,,ZTF18acascph,Ic-BL,4.59,3.0
ZTF18acbwaxk_20190118_Keck2_v1.ascii,ZTF18acbwaxk_20190118_Keck2_v1_10,IIb-flash,0.00228,,,,
ZTF18acbwaxk_20190313_Keck2_v2.ascii,ZTF18acbwaxk_20190313_Keck2_v2_10,IIb-flash,0.00228,,,,
