ZTF_Name classification redshift HGz JD JD_peak phase name flag is_good_spec SF_fit_1 chi2_fit_1 zfit_1 zfit_2 SF_fit_2 chi2_fit_2 c_snid c_rlap z_snid SNR short_name
ZTF18aahpbwz Ic 0.069 nan 2458247.5 2458245.6 1.9 ZTF18aahpbwz_20180509_P60_v2.ascii 1 False SLSN-I 0.005081035 0.069 0.069 SLSN-I 0.0058932924 Ia-norm 9.4 0.1956 12.075071069548045 "Gaia16apd/ALFOSC+2016-07-04 22:43:20.00"
ZTF18aahpbwz Ic 0.069 nan 2458247.5 2458245.6 1.9 ZTF18aahpbwz_20180509_P60_v3.ascii 1 False SLSN-I 0.0047890954 0.069 0.069 SLSN-Ib 0.0056926045 Ia-norm 7.65 0.1976 13.739969679127867 "Gaia16apd/ALFOSC+2016-07-04 22:43:20.00"
ZTF18aahpbwz Ic 0.069 nan 2458254.5 2458245.6 8.9 ZTF18aahpbwz_20180516_NOT_v1.ascii 1 False SLSN-I 0.011131698 0.069 0.069 SLSN-I 0.011348449 Ic-norm 8.04 0.0582 12.723628095177153 "Gaia16apd/ALFOSC+2016-07-04 22:43:20.00"
ZTF18aahpbwz Ic 0.069 nan 2458255.5 2458245.6 9.9 ZTF18aahpbwz_20180517_P200_v1.ascii 1 True Ia-norm 0.017619843 0.069 0.069 SLSN-I 0.018329984 Ia-norm 9.58 0.0545 14.68615764101389 "2009Y/WFCCD+2009-02-26 00:00:00.00"
ZTF18aahpbwz Ic 0.069 nan 2458432.5 2458245.6 186.9 ZTF18aahpbwz_20181110_Keck1_v1.ascii 1 False II 0.0018653381 0.069 0.069 IIb 0.001876296 IIb 7.51 0.0508 1.1891720679816447 "2008fq/KAST+2008-10-07 03:18:43.00"
ZTF18aahptcq Ia 0.054 0.063542 2458223.5 2458224.65 -1.15 ZTF18aahptcq_20180415_P60_v1.ascii 1 False Ia-norm 0.0026886459 0.054 0.054 Ia-norm 0.0032028782 Ia-norm 11.04 0.0497 2.876772731885161 "2009Y/LRIS+2009-02-19 15:57:36.00"
ZTF18aahptcq Ia 0.054 0.063542 2458223.5 2458224.65 -1.15 ZTF18aahptcq_20180415_P60_v2.ascii 1 True "Ia 91T-like" 0.0030909698 0.054 0.054 Ia-norm 0.0032105222 Ia-norm 5.29 0.0539 1.1750105431234803 "1991T/UV-Schmidt+1991-05-05 00:00:00.00"
ZTF18aahfgyz Ia-91bg 0.011 0.012012 2458218.5 2458218.75 -0.25 ZTF18aahfgyz_20180410_P200_v1.ascii 1 True "Ia 91bg-like" 0.010787263 0.011 0.011 "Ia 91bg-like" 0.013669764 Ia-91bg 19.62 0.0113 24.941319487072615 "2005bl/DOLORES+2005-04-26 00:00:00.00"
ZTF18aahhqih II 0.021 0.014253 2458204.5 2458257.67 -53.17 ZTF18aahhqih_20180327_P60_v1.ascii 1 True IIb 0.0034315328 0.021 0.021 II 0.0034386436 Ic-BL 5.73 0.0523 7.089700856571518 "2011dh/LRIS+2011-06-03 09:29:43.00"
ZTF18aahfeiy Ia 0.071 0.071256 2458251.5 2458214.65 36.85 ZTF18aahfeiy_20180513_LT_v1.ascii 1 False Ia-pec 0.002723316 0.071 0.071 Ia-pec 0.003126412 Ia-norm 7.1 0.0792 0.8680436515458516 "2000cx/Nickel-Spec+2000-08-26 00:00:00.00"
