Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av
ZTF19abyhobw_20190924_Keck1_v1.ascii,binnings/ZTF19abyhobw_20190924_Keck1_v1,II,0.0400335,II/iPTF15crj/DBSP phase-band : u-,Sa,0.6438861,0.35611394,u,-0.6
ZTF19abyhxzp_20190918_P60_v1.ascii,binnings/ZTF19abyhxzp_20190918_P60_v1,Ia 91T-like,0.086,Ia 91T-like/1991T/Other phase-band : -13.0B,E,0.99998546,1.4524391e-05,-13.0,1.8
ZTF19abyihtb_20191123_Keck1_v1.ascii,binnings/ZTF19abyihtb_20191123_Keck1_v1,SLSN-IIn,0.03949,SLSN-IIn/PTF10tpz/KAST phase-band : u-,S0,0.78324294,0.21675707,u,-1.8
ZTF19abyikbv_20190911_P60_v1.ascii,binnings/ZTF19abyikbv_20190911_P60_v1,IIn,0.0178395,IIn/2008fq/WFCCD phase-band : 10.0B,SB6,0.98354703,0.016452996,10.0,-2.0
ZTF19abymvpq_20190917_P60_v1.ascii,binnings/ZTF19abymvpq_20190917_P60_v1,Ia 99aa-like,0.0615,Ia 99aa-like/iPTF14bdn/YFOSC phase-band : -10.66B,S0,0.8395278,0.16047223,-10.66,1.4
ZTF19abyuzch_20190915_P60_v1.ascii,binnings/ZTF19abyuzch_20190915_P60_v1,computed,0.0252,computed/PISN/Other phase-band : u-,S0,0.9210844,0.078915596,u,1.0
ZTF19abywmqw_20190919_P60_v1.ascii,binnings/ZTF19abywmqw_20190919_P60_v1,Ia 02es-like,0.0374775,Ia 02es-like/PTF10ops/DBSP phase-band : 101.0g,SB5,0.8642749,0.13572507,101.0,-1.4
ZTF19abywmqw_20190921_P60_v1.ascii,binnings/ZTF19abywmqw_20190921_P60_v1,Ia-CSM,0.03945,Ia-CSM/2005gj/LRIS phase-band : 48.04g,Sb,0.9484146,0.051585354,48.04,-1.4
ZTF19abzknnj_20190922_P200_v1.ascii,binnings/ZTF19abzknnj_20190922_P200_v1,SLSN-I,0.067,SLSN-I/PTF10aagc/LRIS phase-band : u-,Sb,0.93634486,0.06365512,u,-1.6
ZTF19abzlmwn_20190923_P60_v1.ascii,binnings/ZTF19abzlmwn_20190923_P60_v1,II,0.026,II/2013fs/ALFOSC phase-band : 6.24B,S0,0.90830684,0.09169317,6.24,-2.0
ZTF19abzlsbl_20190921_P60_v1.ascii,binnings/ZTF19abzlsbl_20190921_P60_v1,Ia 91bg-like,0.03,Ia 91bg-like/1999by/FAST phase-band : -1.85B,Sa,0.9777147,0.022285294,-1.85,-0.4
