ZTF_Name,Version,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
ZTF18aainvic,ZTF18aainvic_20180608_NOT_v1.ascii,II,9,II-norm,19.36,9,0.0308
ZTF18aainvic,ZTF18aainvic_20180622_TNG_v2.ascii,II,10,II-norm,20.2,10,0.0318
ZTF18aainvic,ZTF18aainvic_20180714_TNG_v1.ascii,II,10,II-norm,16.28,10,0.0376
ZTF18aainvic,ZTF18aainvic_20180717_P200_v1.ascii,II,5,Gal,15.86,5,0.0311
ZTF18aainvic,ZTF18aainvic_20180806_TNG_v2.ascii,II,10,II-norm,15.11,9,0.031
ZTF18aainvic,ZTF18aainvic_20180930_TNG_v1.ascii,II,9,IIn,14.19,6,0.0315
ZTF18aairuad,ZTF18aairuad_20180416_LT_v1.ascii,Ia,10,Ia-norm,17.95,6,0.061
ZTF18aaisqmw,ZTF18aaisqmw_20201223_LT_v1.ascii,Gal,7,Gal,12.91,7,0.0525
ZTF18aaisyyp,ZTF18aaisyyp_20180504_NOT_v1.ascii,Ic,9,Ic-norm,8.25,8,0.1544
ZTF18aaisyyp,ZTF18aaisyyp_20180504_P60_v1.ascii,Ia,5,Ia-91T,7.06,5,0.2977
ZTF18aaisyyp,ZTF18aaisyyp_20180514_Keck1_v1.ascii,Ic,9,Ic-norm,11.83,7,0.1386
ZTF18aaisyyp,ZTF18aaisyyp_20190104_Keck1_v1.ascii,Ib,9,Ib-norm,9.14,9,0.1318
ZTF18aaisyyp,ZTF18aaisyyp_20190403_Keck1_v1.ascii,Gal,8,Gal,9.26,8,0.1314
ZTF18aaitfrq,ZTF18aaitfrq_20181227_P200_v1.ascii,Gal,8,Gal,11.48,8,0.0352
ZTF18aaiykoz,ZTF18aaiykoz_20200611_P60_v1.ascii,Ia,7,Ia-norm,14.17,5,0.0217
ZTF18aaiykoz,ZTF18aaiykoz_20200617_P60_v1.ascii,Ia,10,Ia-norm,12.92,10,0.026
ZTF18aaizerg,ZTF18aaizerg_20200114_P60_v1.ascii,Ic,9,Ic-norm,6.81,9,0.0933
ZTF18aajivpr,ZTF18aajivpr_20200416_P60_v1.ascii,Ia,11,Ia-norm,8.45,11,0.0534
ZTF18aajivpr,ZTF18aajivpr_20200416_P60_v2.ascii,Ia,11,Ia-norm,9.43,9,0.0551
ZTF18aajnqmp,ZTF18aajnqmp_20180610_P60_v1.ascii,AGN,6,AGN,18.48,6,0.0877
