Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
ZTF20aammdfk_20200217_P60_v1.ascii,,,,,,,,,,ZTF20aammdfk,II,7,IIn,4.83,5,0.0986
ZTF20aammdfk_20200221_P60_v1.ascii,,,,,,,,,,ZTF20aammdfk,Ia,6,Ia-norm,5.29,5,0.7132
ZTF20aapcjjo_20200224_P60_v1.ascii,,,,,,,,,,ZTF20aapcjjo,Ic,8,Ic-BL,5.01,8,0.7294
ZTF20aavpyxo_20200425_P60_v1.ascii,,,,,,,,,,ZTF20aavpyxo,Ic,7,Ic-BL,7.27,7,0.083
ZTF20aavtdxj_20200427_P60_v1.ascii,,,,,,,,,,ZTF20aavtdxj,Ia,9,Ia-norm,6.45,7,0.0901
ZTF20aaxahpk_20200504_P60_v1.ascii,,,,,,,,,,ZTF20aaxahpk,Ia,6,Ia-91T,5.07,5,0.1013
ZTF20aayhacx_20200608_P60_v1.ascii,,,,,,,,,,ZTF20aayhacx,Ia,4,Ia-norm,5.43,4,0.428
ZTF20aayxdse_20200510_P60_v1.ascii,,,,,,,,,,ZTF20aayxdse,Ia,29,Ia-91T,7.76,17,0.1233
ZTF20aayxdse_20200517_P60_v2.ascii,,,,,,,,,,ZTF20aayxdse,Ic,7,Ic-norm,4.08,7,0.1325
ZTF20abfhyil_20200617_FTN_v1.ascii,,,,,,,,,,ZTF20abfhyil,Ia,9,Ia-norm,5.12,8,0.5263
ZTF20abhjwvh_20200624_FTN_v1.ascii,,,,,,,,,,ZTF20abhjwvh,Ic,9,Ic-BL,6.21,8,0.0363
ZTF20ablygyy_20200716_TNG_v3.ascii,,,,,,,,,,ZTF20ablygyy,II,8,IIn,15.31,8,0.0156
ZTF20abonvte_20200813_NOT_v1.ascii,,,,,,,,,,ZTF20abonvte,Ia,8,Ia-csm,4.56,8,0.0545
ZTF20abougmo_20200826_P200_v1.ascii,,,,,,,,,,ZTF20abougmo,Ic,4,Ib-norm,6.42,2,0.7724
ZTF20abrmmah_20200819_P60_v1.ascii,,,,,,,,,,ZTF20abrmmah,Ic,9,Ic-norm,4.05,5,0.765
ZTF20abwdwoa_20200902_P60_v1.ascii,,,,,,,,,,ZTF20abwdwoa,Ia,8,Ia-norm,7.0,5,0.1156
ZTF20abwyyjc_20200831_P60_v2.ascii,,,,,,,,,,ZTF20abwyyjc,Ia,7,Ia-norm,5.62,5,0.7261
ZTF20abxcycq_20200829_P60_v3.ascii,,,,,,,,,,ZTF20abxcycq,Ia,10,Ia-norm,6.26,7,0.0902
ZTF20abxcycq_20200829_P60_v4.ascii,,,,,,,,,,ZTF20abxcycq,Ib,5,Ib-norm,3.37,5,0.9528
ZTF20abxjefm_20200831_P60_v1.ascii,,,,,,,,,,ZTF20abxjefm,Gal,7,Gal,4.13,7,0.2703
ZTF20abxjefm_20200831_P60_v2.ascii,,,,,,,,,,ZTF20abxjefm,Gal,6,Gal,5.51,6,0.08
ZTF20abxwreg_20200907_P60_v2.ascii,,,,,,,,,,ZTF20abxwreg,Ia,7,Ia-91T,4.48,5,0.2469
