,Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
3180,ZTF19aanpcep_20190407_APO_v1.ascii,ZTF19aanpcep_20190407_APO_v1_10,Ic,0.02983,Ic/2007gr/LRIS+2454330.1319907,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.34463546,0.6553645,-6.368009,2.0,ZTF19aanpcep,Gal,6,Gal,6.25,6,0.0308
3181,ZTF19aanpcep_20190603_Keck1_v1.ascii,ZTF19aanpcep_20190603_Keck1_v1_10,SN - Imposter,0.0314,SN - Imposter/2000ch/LRIS+2453121.8619907,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.4377586,0.56224144,53122.363,-1.0,ZTF19aanpcep,II,4,AGN,18.9,4,0.0309
3182,ZTF19aanqzle_20190330_P60_v1.ascii,ZTF19aanqzle_20190330_P60_v1_10,II,0.024423,II/2013fs/ALFOSC+2456582.5489931,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.6789386,0.3210614,6.2413764,2.0,ZTF19aanqzle,II,5,IIb,4.05,3,0.0136
3183,ZTF19aanqzle_20190406_Keck1_v1.ascii,ZTF19aanqzle_20190406_Keck1_v1_10,II,0.024423,II/2016esw/KAST+2457627.7209954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.9770616,0.022938391,13.521636,0.4,ZTF19aanqzle,II,8,II-norm,14.37,8,0.0201
3184,ZTF19aanramr_20190401_P60_v1.ascii,ZTF19aanramr_20190401_P60_v1_10,Ia-norm,0.0475545,Ia-norm/2012cg/KAST+2456068.6859954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.969041,0.03095903,-13.49343,1.0,ZTF19aanramr,Ia,9,Ia-norm,18.26,9,0.0451
3185,ZTF19aanrrgh_20190413_P200_v1.ascii,ZTF19aanrrgh_20190413_P200_v1_10,II,0.049539,II/2007od/KAST+2454414.8339931,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.8260676,0.1739324,3.3339932,-1.0,ZTF19aanrrgh,Gal,7,Gal,17.12,7,0.0469
3186,ZTF19aanrrqu_20190330_P60_v1.ascii,ZTF19aanrrqu_20190330_P60_v1_10,TDE H+He,0.02436425,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.31751946,0.6824805,9.906065,1.2,ZTF19aanrrqu,Ic,9,Ic-BL,6.86,9,0.4052
3187,ZTF19aanrrqu_20190331_P60_v1.ascii,ZTF19aanrrqu_20190331_P60_v1_10,TDE H+He,0.0249585,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.3226422,0.6773578,9.906065,0.6,ZTF19aanrrqu,Ib,1,Ib-norm,7.94,1,0.0234
3188,ZTF19aanrrqu_20190407_P60_v1.ascii,ZTF19aanrrqu_20190407_P60_v1_10,II,0.0249585,II/2007od/KAST+2454414.8339931,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.30553332,0.69446665,3.3339932,1.8,ZTF19aanrrqu,II,9,II-norm,8.4,8,0.0222
3189,ZTF19aansyyn_20190408_P60_v1.ascii,ZTF19aansyyn_20190408_P60_v1_10,Ia 91T-like,0.07995,Ia 91T-like/2018hfr/KAST+2458408.0429977,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.6586833,0.34131673,58408.543,1.6,ZTF19aansyyn,Ia,10,Ia-norm,7.3,8,0.0859
3190,ZTF19aanuhox_20190407_P60_v1.ascii,ZTF19aanuhox_20190407_P60_v1_10,Ia-norm,0.057,Ia-norm/2011fe/STIS+2455818.1701389,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.38085103,0.61914897,2.8136833,2.0,ZTF19aanuhox,Ia,10,Ia-norm,15.46,8,0.059
3191,ZTF19aanuipj_20190509_P60_v1.ascii,ZTF19aanuipj_20190509_P60_v1_10,FBOT,0.063,FBOT/AT2018cow/ACAM+2458296.0,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.9999706,2.9363186e-05,-19.5,-0.2,ZTF19aanuipj,Ic,11,Ic-BL,6.55,6,0.7736
3192,ZTF19aanuipj_20190512_LT_v1.ascii,ZTF19aanuipj_20190512_LT_v1_10,Ia-pec,0.063,Ia-pec/2000cx/Nickel-Spec+2451782.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.61463994,0.38536003,29.0,-0.8,ZTF19aanuipj,Ia,7,Ia-norm,6.49,4,0.0623
3193,ZTF19aanuipr_20190414_P60_v1.ascii,ZTF19aanuipr_20190414_P60_v1_10,Ia-norm,0.0665,Ia-norm/2017erp/KAST+2457939.78,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.7138696,0.2861304,4.364056,-1.2,ZTF19aanuipr,Ia,9,Ia-91T,12.19,5,0.0778
3194,ZTF19aanuuen_20190524_P200_v1.ascii,ZTF19aanuuen_20190524_P200_v1_10,Ia-CSM-(ambigious),0.0701,Ia-CSM-(ambigious)/2002ic/BC-Magellan+2452648.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.42191735,0.5780827,43.0,-0.4,ZTF19aanuuen,Gal,7,Gal,8.12,7,0.0692
3195,ZTF19aanvmcm_20190406_UH88_v1.ascii,ZTF19aanvmcm_20190406_UH88_v1_10,Ia-norm,0.06,Ia-norm/2013dy/HET-LRS+2456506.74,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.9840586,0.01594137,6.24,-2.0,ZTF19aanvmcm,Ia,10,Ia-norm,14.39,10,0.0616
3196,ZTF19aanwwlo_20190402_P60_v1.ascii,ZTF19aanwwlo_20190402_P60_v1_10,Ia-norm,0.0830655,Ia-norm/2012cg/KAST+2456073.735,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.47021464,0.52978534,-8.444426,1.6,ZTF19aanwwlo,Ia,10,Ia-91T,8.2,7,0.0787
3197,ZTF19aanxgrz_20190411_P60_v1.ascii,ZTF19aanxgrz_20190411_P60_v1_10,Ia 91bg-like,0.02708,Ia 91bg-like/2015ac/KAST+2457246.955,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.77011234,0.2298877,57247.453,0.2,ZTF19aanxgrz,Ia,11,Ia-91bg,19.58,9,0.0295
3198,ZTF19aanxnkd_20190413_P60_v1.ascii,ZTF19aanxnkd_20190413_P60_v1_10,Ia-norm,0.1002,Ia-norm/2011by/KAST+2455685.7489931,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sb,0.3319902,0.66800976,-4.751007,0.8,ZTF19aanxnkd,Ia,3,Ia-norm,10.74,3,0.1294
3199,ZTF19aanxosu_20190418_P60_v1.ascii,ZTF19aanxosu_20190418_P60_v1_10,Ia-norm,0.076,Ia-norm/2013dy/STIS+2456500.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.54615575,0.45384422,0.0,2.0,ZTF19aanxosu,Ia,11,Ia-norm,16.43,10,0.0928
3200,ZTF19aanxrkt_20190409_P60_v1.ascii,ZTF19aanxrkt_20190409_P60_v1_10,Ia-norm,0.0855,Ia-norm/2017erp/KAST+2457939.78,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.71762997,0.28237003,4.364056,0.6,ZTF19aanxrkt,Ia,8,Ia-norm,8.51,5,0.0831
3201,ZTF19aanxufb_20190410_P60_v1.ascii,ZTF19aanxufb_20190410_P60_v1_10,Ia-02cx like,0.059475,Ia-02cx like/2005hk/DIS+2453678.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.6564641,0.34353593,-5.9049644,0.8,ZTF19aanxufb,II,3,II-norm,3.66,3,0.4752
3202,ZTF19aanydko_20190408_P60_v1.ascii,ZTF19aanydko_20190408_P60_v1_10,Ia-norm,0.07175,Ia-norm/2013dy/STIS+2456500.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.89101464,0.10898537,0.0,1.2,ZTF19aanydko,Ia,10,Ia-norm,13.13,8,0.0789
3203,ZTF19aanyubf_20190411_P60_v1.ascii,ZTF19aanyubf_20190411_P60_v1_10,Ia 91T-like,0.0525,Ia 91T-like/1991T/UV-Schmidt+2448381.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.79290974,0.20709029,6.0,-0.8,ZTF19aanyubf,Ia,10,Ia-norm,10.9,5,0.0675
3204,ZTF19aanyuyh_20200722_P60_v1.ascii,ZTF19aanyuyh_20200722_P60_v1_10,SLSN-IIn,0.0257565,SLSN-IIn/PTF10tpz/RC-Spec+2455478.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.2510345,0.7489655,55479.0,-2.0,ZTF19aanyuyh,Ia,6,Ia-csm,6.27,5,0.4323
3205,ZTF19aanyuyh_20200727_P60_v1.ascii,ZTF19aanyuyh_20200727_P60_v1_10,Ia-norm,0.0257565,Ia-norm/2012cu/KAST+2456105.745,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.16203289,0.8379671,56106.246,2.0,ZTF19aanyuyh,Ic,11,Ic-BL,5.93,11,0.309
3206,ZTF19aanyuyh_20200728_LT_v1.ascii,ZTF19aanyuyh_20200728_LT_v1_10,Ia-norm,0.02453,Ia-norm/2012cu/KAST+2456105.745,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.27467048,0.7253295,56106.246,1.4,ZTF19aanyuyh,Ia,10,Ia-norm,14.18,10,0.0302
3207,ZTF19aaoaaap_20190414_P60_v1.ascii,ZTF19aaoaaap_20190414_P60_v1_10,SLSN-I,0.105,SLSN-I/2015bn/IMACS+2457136.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.70289886,0.29710117,37.344627,2.0,ZTF19aaoaaap,Ib,6,Ib-norm,5.42,6,0.2535
3208,ZTF19aaoaaap_20190426_P60_v1.ascii,ZTF19aaoaaap_20190426_P60_v1_10,Ia 99aa-like,0.105,Ia 99aa-like/iPTF14bdn/YFOSC+2456833.1104167,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sb,0.98723125,0.012768756,10.219262,2.0,ZTF19aaoaaap,II,5,IIb,4.43,5,0.4404
3209,ZTF19aaoaaap_20190502_P200_v1.ascii,ZTF19aaoaaap_20190502_P200_v1_10,Ia 91T-like,0.105,Ia 91T-like/2018hfr/KAST+2458425.0369907,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.9947167,0.0052833045,58425.535,0.2,ZTF19aaoaaap,Ia,10,Ia-norm,11.14,6,0.103
3210,ZTF19aaobwpx_20190407_LT_v1.ascii,ZTF19aaobwpx_20190407_LT_v1_10,Ia-norm,0.04875,Ia-norm/2011by/KAST+2455687.735,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.9915831,0.008416872,-2.765,-2.0,ZTF19aaobwpx,Ia,10,Ia-norm,23.56,10,0.05
3211,ZTF19aaocbes_20190411_P60_v1.ascii,ZTF19aaocbes_20190411_P60_v1_10,Ia 91T-like,0.076,Ia 91T-like/1991T/UV-Schmidt+2448381.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.6437813,0.3562187,6.0,0.8,ZTF19aaocbes,Ia,8,Ia-91T,9.57,7,0.0805
3212,ZTF19aaocejx_20190402_P60_v1.ascii,ZTF19aaocejx_20190402_P60_v1_10,Ic-BL,0.05125,Ic-BL/2006aj/FORS2+2453795.5090046,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.12465192,0.8753481,11.009005,2.0,ZTF19aaocejx,Ic,7,Ic-SLSN,5.0,7,0.2103
3213,ZTF19aaodkhk_20190402_P60_v1.ascii,ZTF19aaodkhk_20190402_P60_v1_10,Ia-rapid,0.07995,Ia-rapid/2002bj/LRIS+2452340.8120023,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.7481899,0.25181004,6.312002,2.0,ZTF19aaodkhk,Ic,9,Ic-SLSN,4.35,7,0.2773
3214,ZTF19aaodojg_20190402_P60_v1.ascii,ZTF19aaodojg_20190402_P60_v1_10,TDE H+He,0.0475,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.2596233,0.7403767,9.906065,-0.2,ZTF19aaodojg,Ic,6,Ic-SLSN,5.83,6,0.7495
3215,ZTF19aaodsna_20190402_P60_v1.ascii,ZTF19aaodsna_20190402_P60_v1_10,TDE H+He,0.04875,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.11712575,0.88287425,9.906065,2.0,ZTF19aaodsna,II,9,II-norm,4.78,7,0.2295
3216,ZTF19aaohyqj_20190413_P60_v1.ascii,ZTF19aaohyqj_20190413_P60_v1_10,Ia 99aa-like,0.1025,Ia 99aa-like/1999aa/KAST+2451232.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.91003144,0.08996858,0.0,0.4,ZTF19aaohyqj,Ia,9,Ia-norm,10.08,8,0.0981
3217,ZTF19aaoikti_20190524_P200_v1.ascii,ZTF19aaoikti_20190524_P200_v1_10,Ia-norm,0.07868,Ia-norm/2012cg/KAST+2456120.7259954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.59371495,0.40628505,38.54657,1.2,ZTF19aaoikti,Ia,10,Ia-norm,14.03,5,0.0813
3218,ZTF19aaojnrx_20190419_P60_v1.ascii,ZTF19aaojnrx_20190419_P60_v1_10,IIn,0.04953,IIn/2008fq/WFCCD+2454731.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sb,0.31646356,0.6835364,3.0,1.4,ZTF19aaojnrx,Ia,1,Ia-norm,5.86,1,0.732
3219,ZTF19aaojovs_20190413_P200_v1.ascii,ZTF19aaojovs_20190413_P200_v1_10,Ib,0.0237615,Ib/2005bf/WFCCD+2453479.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.6788715,0.32112846,-19.0,-1.4,ZTF19aaojovs,Ib,8,IIb,9.1,6,0.0294
3220,ZTF19aaokist_20190513_P60_v1.ascii,ZTF19aaokist_20190513_P60_v1_10,SLSN-I,0.07645475,SLSN-I/2012il/X-Shooter+2456003.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.91609335,0.08390668,25.0,2.0,ZTF19aaokist,Ia,5,Ia-norm,5.17,5,0.8142
3221,ZTF19aaokist_20190513_P60_v2.ascii,ZTF19aaokist_20190513_P60_v2_10,SLSN-I,0.07645475,SLSN-I/2012il/X-Shooter+2456003.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.9032071,0.09679289,25.0,2.0,ZTF19aaokist,Ia,2,Ia-norm,5.27,2,0.8376
3222,ZTF19aaomkvl_20190410_P60_v1.ascii,ZTF19aaomkvl_20190410_P60_v1_10,Ia 99aa-like,0.0376295,Ia 99aa-like/1999aa/MARK-III+2451240.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.895735,0.10426498,8.0,-1.0,ZTF19aaomkvl,II,1,Ib-norm,6.03,1,0.6014
3223,ZTF19aaomkvl_20190412_P60_v1.ascii,ZTF19aaomkvl_20190412_P60_v1_10,Ia-norm,0.0415905,Ia-norm/2015N/LRIS+2457219.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.9578597,0.042140283,-2.0,2.0,ZTF19aaomkvl,Ia,8,Ia-norm,13.96,7,0.037
3224,ZTF19aaoxvfe_20190407_LT_v1.ascii,ZTF19aaoxvfe_20190407_LT_v1_10,Ib,0.03822,Ib/2014C/DEIMOS+2456932.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.015457139,0.98454285,263.3441,2.0,ZTF19aaoxvfe,Ic,3,Ib-norm,4.39,2,0.335
3225,ZTF19aaoxvfe_20190407_P60_v1.ascii,ZTF19aaoxvfe_20190407_P60_v1_10,SLSN-I,0.03458,SLSN-I/2012il/X-Shooter+2456003.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.19895461,0.80104536,25.0,2.0,ZTF19aaoxvfe,Ic,5,Ic-SLSN,5.1,5,0.2273
3226,ZTF19aaoxvfe_20190419_P60_v1.ascii,ZTF19aaoxvfe_20190419_P60_v1_10,Ic-BL,0.03458,Ic-BL/PTF10vgv/HET-LRS+2455466.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.046683375,0.9533166,2.0,2.0,ZTF19aaoxvfe,Ia,6,Ia-91T,5.61,4,0.0755
3227,ZTF19aaoxvfe_20190424_P200_v1.ascii,ZTF19aaoxvfe_20190424_P200_v1_10,Ca-Ib,0.03549,Ca-Ib/2016hgs/DBSP+2457687.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.4275744,0.5724256,6.0,1.8,ZTF19aaoxvfe,Ib,5,Ib-norm,10.47,5,0.0465
3228,ZTF19aaoxxqk_20190414_P60_v1.ascii,ZTF19aaoxxqk_20190414_P60_v1_10,Ia-pec,0.099288,Ia-pec/2013bh/HET-LRS+2456388.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.69257414,0.30742586,3.0,0.0,ZTF19aaoxxqk,Ic,5,Ic-SLSN,4.41,5,0.4869
3229,ZTF19aaoycfk_20190424_P60_v1.ascii,ZTF19aaoycfk_20190424_P60_v1_10,Ia 99aa-like,0.076,Ia 99aa-like/iPTF14bdn/YFOSC+2456833.1104167,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB6,0.67542464,0.32457536,10.219262,2.0,ZTF19aaoycfk,Ia,9,Ia-norm,5.31,6,0.0642
3230,ZTF19aaoyech_20190428_P60_v1.ascii,ZTF19aaoyech_20190428_P60_v1_10,Ia-pec,0.063,Ia-pec/2000cx/KAST+2451841.8309954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.4905779,0.50942206,88.33099,2.0,ZTF19aaoyech,Ia,4,Ia-norm,6.95,4,0.0602
3231,ZTF19aaoyglz_20190410_P60_v1.ascii,ZTF19aaoyglz_20190410_P60_v1_10,II,0.0429555,II/2007od/KAST+2454422.7159954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sb,0.93119556,0.06880444,11.215996,2.0,ZTF19aaoyglz,Ia,5,Ia-91bg,5.72,5,0.3039
3232,ZTF19aaoyglz_20190410_P60_v2.ascii,ZTF19aaoyglz_20190410_P60_v2_10,IIb,0.0429555,IIb/2011dh/ISIS+2455721.4540972,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.85477465,0.14522536,-8.400026,0.2,ZTF19aaoyglz,Ia,4,Ia-norm,4.34,3,0.7009
3233,ZTF19aaoyglz_20190420_P60_v1.ascii,ZTF19aaoyglz_20190420_P60_v1_10,II,0.03988725,II/1999em/LRIS+2451490.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.59214884,0.4078512,8.0,1.6,ZTF19aaoyglz,II,7,II-norm,4.99,7,0.2907
3234,ZTF19aaoyglz_20190420_P60_v2.ascii,ZTF19aaoyglz_20190420_P60_v2_10,Ibn,0.0388645,Ibn/2005la/DEIMOS+2453709.1509954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.57202464,0.42797533,-1.3490046,1.8,ZTF19aaoyglz,Ic,6,Ic-BL,5.11,3,0.2909
3235,ZTF19aaoyjoz_20190410_P60_v1.ascii,ZTF19aaoyjoz_20190410_P60_v1_10,Ia-norm,0.058425,Ia-norm/2011fe/STIS+2455814.8902778,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.47390836,0.52609164,-0.46617794,-1.2,ZTF19aaoyjoz,Ia,9,Ia-norm,9.65,8,0.0591
3236,ZTF19aaozpew_20190411_P60_v1.ascii,ZTF19aaozpew_20190411_P60_v1_10,TDE H+He,0.057,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.2560151,0.74398494,9.906065,2.0,ZTF19aaozpew,Ib,7,Ib-norm,5.68,7,0.4667
3237,ZTF19aaozpew_20190423_P60_v1.ascii,ZTF19aaozpew_20190423_P60_v1_10,Ia-norm,0.057,Ia-norm/2013dy/STIS+2456500.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.997064,0.0029359832,0.0,1.8,ZTF19aaozpew,Ia,11,Ia-norm,8.45,7,0.0567
3238,ZTF19aaozpew_20190505_LT_v1.ascii,ZTF19aaozpew_20190505_LT_v1_10,Ia-norm,0.057,Ia-norm/2009ig/KAST+2455093.9919907,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.72884876,0.27115127,14.181275,0.6,ZTF19aaozpew,Ia,10,Ia-norm,16.2,7,0.0519
3239,ZTF19aaozplq_20190414_P60_v1.ascii,ZTF19aaozplq_20190414_P60_v1_10,Ia-norm,0.105,Ia-norm/2012fr/KAST+2456237.8829977,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.92904985,0.070950165,-5.6536655,-1.4,ZTF19aaozplq,Ia,11,Ia-norm,12.26,11,0.0986
3240,ZTF19aaozsuh_20190414_P60_v1.ascii,ZTF19aaozsuh_20190414_P60_v1_10,II,0.058425,II/1999br/BC-duPont+2451291.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.26120895,0.73879105,5.0,2.0,ZTF19aaozsuh,II,4,Ic-norm,6.08,4,0.056
3241,ZTF19aaozsuh_20190501_LT_v1.ascii,ZTF19aaozsuh_20190501_LT_v1_10,IIn,0.057,IIn/2002bu/KAST+2452372.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.8866622,0.11333782,5.0,1.4,ZTF19aaozsuh,QSO,4,QSO,12.37,4,0.0558
3242,ZTF19aaozsuh_20190529_NOT_v1.ascii,ZTF19aaozsuh_20190529_NOT_v1_10,ILRT,0.058425,ILRT/2017be/ALFOSC+2457776.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.73656315,0.26343682,13.0,2.0,ZTF19aaozsuh,AGN,7,AGN,18.6,7,0.0572
3243,ZTF19aaozugz_20190503_P60_v1.ascii,ZTF19aaozugz_20190503_P60_v1_10,ILRT,0.052227,ILRT/PTF10fqs/HET-LRS+2455319.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.24356198,0.756438,6.0,1.8,ZTF19aaozugz,Ia,6,Ia-91T,4.22,5,0.4787
3244,ZTF19aaozugz_20190514_P60_v1.ascii,ZTF19aaozugz_20190514_P60_v1_10,II,0.052227,II/1999br/BC-duPont+2451291.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.82786334,0.17213665,5.0,2.0,ZTF19aaozugz,Ic,5,Ic-SLSN,5.23,3,0.7942
3245,ZTF19aaozxqk_20190411_P60_v1.ascii,ZTF19aaozxqk_20190411_P60_v1_10,Ia-rapid,0.05415,Ia-rapid/2002bj/LRIS+2452340.8120023,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.9944539,0.005546108,6.312002,1.2,ZTF19aaozxqk,II,2,IIn,5.76,2,0.27
3246,ZTF19aapadxs_20190424_P60_v1.ascii,ZTF19aapadxs_20190424_P60_v1_10,IIb,0.03325,IIb/2008aq/KAST+2454525.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.4572812,0.54271877,-5.28125,-2.0,ZTF19aapadxs,II,9,II-norm,5.02,6,0.0319
3247,ZTF19aapadxs_20190424_P60_v2.ascii,ZTF19aapadxs_20190424_P60_v2_10,Ia-pec,0.03675,Ia-pec/2013bh/HET-LRS+2456404.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.2554249,0.74457514,19.0,2.0,ZTF19aapadxs,Ia,9,Ia-norm,7.07,9,0.0354
3248,ZTF19aapadxs_20190427_LT_v3.ascii,ZTF19aapadxs_20190427_LT_v3_10,Ib,0.03325,Ib/2007C/KAST+2454127.06,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB4,0.48236933,0.51763064,11.56,1.4,ZTF19aapadxs,Ia,5,Ia-norm,6.13,5,0.3367
3249,ZTF19aapafit_20190408_P60_v1.ascii,ZTF19aapafit_20190408_P60_v1_10,TDE H+He,0.01953,TDE H+He/ASASSN-14li/DIS+2456994.0060648,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.2724764,0.7275236,9.906065,2.0,ZTF19aapafit,II,10,II-norm,5.86,10,0.0342
3250,ZTF19aapafqd_20190413_P200_v2.ascii,ZTF19aapafqd_20190413_P200_v2_10,IIn,0.0321,IIn/2002bu/KAST+2452401.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.9760719,0.023928117,34.0,-0.6,ZTF19aapafqd,II,6,II-norm,7.85,6,0.032
3251,ZTF19aapafqd_20190424_P200_v1.ascii,ZTF19aapafqd_20190424_P200_v1_10,IIn,0.030495,IIn/1999el/KAST+2451487.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.60377437,0.39622563,1.3242537,1.8,ZTF19aapafqd,AGN,5,AGN,12.24,5,0.0309
3252,ZTF19aapbfot_20190411_P60_v1.ascii,ZTF19aapbfot_20190411_P60_v1_10,II,0.03,II/2013fs/ALFOSC+2456582.5489931,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.9276404,0.07235963,6.2413764,1.0,ZTF19aapbfot,II,9,II-norm,4.47,9,0.0313
