,Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
6006,ZTF19acgpzsb_20191105_P200_v1.ascii,ZTF19acgpzsb_20191105_P200_v1_10,Ic,0.03392025,Ic/1994I/KAST+2449462.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.49473035,0.50526965,13.0,-2.0,ZTF19acgpzsb,Ia,2,Ia-norm,10.63,2,0.0348
6007,ZTF19acgqjln_20191025_P60_v1.ascii,ZTF19acgqjln_20191025_P60_v1_10,Ia-norm,0.0475,Ia-norm/2011by/KAST+2455695.7459954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.5362009,0.46379912,5.2459955,2.0,ZTF19acgqjln,Ia,9,Ia-norm,6.94,9,0.0526
6008,ZTF19acgqjln_20191029_P60_v1.ascii,ZTF19acgqjln_20191029_P60_v1_10,Ia-norm,0.05125,Ia-norm/2011fe/STIS+2455814.8902778,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.5315749,0.4684251,-0.46617794,2.0,ZTF19acgqjln,Ia,7,Ia-norm,6.39,7,0.0524
6009,ZTF19acgrbeb_20191029_P60_v1.ascii,ZTF19acgrbeb_20191029_P60_v1_10,Ia 91T-like,0.0656,Ia 91T-like/1991T/Other+2448368.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.56524867,0.4347513,-7.0,1.8,ZTF19acgrbeb,Ia,10,Ia-91T,9.27,5,0.0669
6010,ZTF19acgrbeb_20191031_APO_v1.ascii,ZTF19acgrbeb_20191031_APO_v1_10,Ia-norm,0.0672,Ia-norm/2013dy/HET-LRS+2456494.7590046,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB1,0.939133,0.060866993,-5.7409954,1.2,ZTF19acgrbeb,Ic,6,Ic-BL,6.64,6,0.1446
6011,ZTF19acgrbeb_20191105_P60_v1.ascii,ZTF19acgrbeb_20191105_P60_v1_10,Ia-norm,0.0624,Ia-norm/2013dy/STIS+2456500.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB2,0.9484622,0.051537838,0.0,1.8,ZTF19acgrbeb,Ia,10,Ia-91T,19.94,8,0.0632
6012,ZTF19acgtkqe_20191029_P60_v1.ascii,ZTF19acgtkqe_20191029_P60_v1_10,SLSN-I,0.087045,SLSN-I/2017egm/KAST+2457925.6979977,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sb,0.9429484,0.05705163,-0.3860976,-1.6,ZTF19acgtkqe,Ic,4,Ic-BL,5.19,4,0.0605
6013,ZTF19acgwgvh_20191025_P60_v1.ascii,ZTF19acgwgvh_20191025_P60_v1_10,Ia-pec,0.087045,Ia-pec/2013bh/HET-LRS+2456404.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB4,0.024945471,0.9750545,19.0,2.0,ZTF19acgwgvh,Ic,5,Ic-BL,7.16,5,0.1526
6014,ZTF19acgwgvh_20191025_P60_v2.ascii,ZTF19acgwgvh_20191025_P60_v2_10,Ia-pec,0.087045,Ia-pec/2013bh/HET-LRS+2456404.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB4,0.12256508,0.8774349,19.0,2.0,ZTF19acgwgvh,Ia,9,Ia-norm,7.38,7,0.1145
6015,ZTF19acgxbwo_20191101_P60_v1.ascii,ZTF19acgxbwo_20191101_P60_v1_10,Ic-BL,0.0525,Ic-BL/2006aj/FORS2+2453787.5409954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sb,0.006525757,0.99347425,3.0409954,2.0,ZTF19acgxbwo,Ia,10,Ia-norm,6.93,5,0.0554
