,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
3075,ZTF19aanftyh,ZTF19aanftyh_20190413_P200_v1.ascii,53626639,2,5,2,2,0,0
3076,ZTF19aanfukh,ZTF19aanfukh_20190325_P60_v1.ascii,53626640,0,2,6,0,0,1
3077,ZTF19aanfukh,ZTF19aanfukh_20190325_P60_v2.ascii,53626641,0,2,10,0,0,0
3078,ZTF19aanfukh,ZTF19aanfukh_20190326_P60_v1.ascii,53626642,0,3,2,0,0,4
3079,ZTF19aanfukh,ZTF19aanfukh_20190330_P60_v1.ascii,53626643,0,0,5,0,0,6
3080,ZTF19aanfukh,ZTF19aanfukh_20190417_NOT_v1.ascii,53626644,1,1,2,0,5,1
3081,ZTF19aanfukh,ZTF19aanfukh_20190421_P60_v1.ascii,53626645,2,0,0,1,4,4
3082,ZTF19aanfukh,ZTF19aanfukh_20190421_P60_v2.ascii,53626646,3,5,0,0,1,2
3083,ZTF19aanfyey,ZTF19aanfyey_20190402_P60_v1.ascii,53626647,2,0,2,0,2,5
3084,ZTF19aangier,ZTF19aangier_20190331_P60_v1.ascii,53626648,2,1,1,2,3,1
3085,ZTF19aanhgqg,ZTF19aanhgqg_20190325_P60_v1.ascii,53626649,0,5,3,1,0,2
3086,ZTF19aanhgqg,ZTF19aanhgqg_20190325_P60_v2.ascii,53626650,0,1,1,1,0,7
3087,ZTF19aanhhal,ZTF19aanhhal_20190325_P60_v1.ascii,53626651,2,5,9,4,9,3
3088,ZTF19aanhhal,ZTF19aanhhal_20190325_P60_v2.ascii,53626652,0,10,0,1,0,0
3089,ZTF19aanhlxe,ZTF19aanhlxe_20190408_P60_v1.ascii,53626653,2,2,1,0,4,1
3090,ZTF19aanhlzi,ZTF19aanhlzi_20190326_P60_v1.ascii,53626654,1,2,5,0,0,2
3091,ZTF19aanhlzn,ZTF19aanhlzn_20190408_P60_v1.ascii,53626655,0,8,2,2,0,2
3092,ZTF19aanijpu,ZTF19aanijpu_20190411_P60_v1.ascii,53626656,5,1,1,0,0,2
3093,ZTF19aanijpu,ZTF19aanijpu_20190413_P60_v1.ascii,53626657,0,6,2,2,0,0
3094,ZTF19aanijpu,ZTF19aanijpu_20190424_P60_v1.ascii,53626658,0,2,1,1,6,0
3095,ZTF19aanijpu,ZTF19aanijpu_20190529_P60_v1.ascii,53626659,1,4,0,2,0,3
3096,ZTF19aanijpu,ZTF19aanijpu_20190530_P60_v1.ascii,53626660,1,1,1,7,1,0
3097,ZTF19aanijpu,ZTF19aanijpu_20190608_NOT_v1.ascii,53626661,1,0,0,0,0,8
3098,ZTF19aanijpu,ZTF19aanijpu_20190616_P60_v1.ascii,53626662,3,2,2,2,2,0
3099,ZTF19aanijpu,ZTF19aanijpu_20190616_P60_v2.ascii,53626663,4,2,0,4,0,0
3100,ZTF19aanijpu,ZTF19aanijpu_20190716_NOT_v1.ascii,53626664,0,10,0,0,0,0
3101,ZTF19aanijpu,ZTF19aanijpu_20190721_P60_v1.ascii,53626665,3,0,3,3,0,1
3102,ZTF19aanijpu,ZTF19aanijpu_20190810_NOT_v1.ascii,53626666,1,3,3,1,2,0
