ZTF_Name,spectra_file,sn_type,superfit_sn_type,zooniverse_sn_type,z_sn,in_rcfI,sn_type_rcfI,in_marshall,sn_type_marshall
ZTF18acusnvl,ZTF18acusnvl_20181214_P200_v1.ascii,II,II,II-norm,0.0262,False,,True,II
ZTF18acvwdkk,ZTF18acvwdkk_20190225_P200_v1.ascii,II,II,II-norm,0.0261,False,,True,II
ZTF18acwyvet,ZTF18acwyvet_20190126_P200_v1.ascii,II,II,II-norm,0.0333,False,,True,IIL
ZTF18acwzyor,ZTF18acwzyor_20190220_WHT_v1.ascii,II,II,II-norm,0.0271,True,IIn,True,IIn
ZTF18adacicy,ZTF18adacicy_20181224_P60_v1.ascii,II,II,II-norm,0.0412,True,II,True,II
ZTF18adakhrq,ZTF18adakhrq_20190126_P200_v1.ascii,II,II,II-norm,0.0424,False,,True,II
ZTF18adbacau,ZTF18adbacau_20190126_P200_v1.ascii,II,II,II-norm,0.0354,False,,True,II
ZTF18adbadic,ZTF18adbadic_20190315_P200_v1.ascii,II,II,II-norm,0.0341,False,,True,II
ZTF18adbclkd,ZTF18adbclkd_20181231_P60_v1.ascii,II,II,II-norm,0.0133,True,II,True,II
ZTF18adbikdz,ZTF18adbikdz_20190126_P200_v1.ascii,II,IIn,IIn,0.0451,False,,True,II
ZTF19aadnxnl,ZTF19aadnxnl_20190313_P60_v1.ascii,II,II,II-norm,0.0087,False,,True,IIP
ZTF19aaduufr,ZTF19aaduufr_20190315_P200_v1.ascii,II,II,II-norm,0.0445,False,,True,IIP
ZTF19aaejtof,ZTF19aaejtof_20190212_P200_v1.ascii,II,IIb,IIb,0.0394,False,,True,IIb
ZTF19aaeuhgo,ZTF19aaeuhgo_20191003_P60_v1.ascii,II,IIn,IIn,0.0619,False,,True,II
ZTF19aaezale,ZTF19aaezale_20190712_P60_v1.ascii,II,IIn,IIn,0.0802,False,,True,IIn
ZTF19aafndot,ZTF19aafndot_20190212_P200_v1.ascii,II,II,II-norm,0.0344,False,,True,IIP
ZTF19aailvhf,ZTF19aailvhf_20190406_Keck1_v1.ascii,II,II,II-norm,0.028,False,,True,II
ZTF19aakiyed,ZTF19aakiyed_20190315_P200_v1.ascii,II,II,II-norm,0.0395,False,,True,II
ZTF19aakiyfn,ZTF19aakiyfn_20190225_P200_v1.ascii,II,II,II-norm,0.0448,False,,True,II
ZTF19aakkrqu,ZTF19aakkrqu_20190406_Keck1_v1.ascii,II,II,II-norm,0.035,False,,True,II
ZTF19aakkwpi,ZTF19aakkwpi_20190406_Keck1_v1.ascii,II,II,II-norm,0.0314,False,,True,II
ZTF19aakltef,ZTF19aakltef_20190306_Keck1_v1.ascii,II,II,II-norm,0.0413,False,,True,II
ZTF19aakrsuo,ZTF19aakrsuo_20190304_P60_v1.ascii,II,II,II-norm,0.0372,False,,True,II
ZTF19aakssnv,ZTF19aakssnv_20190316_P60_v1.ascii,II,II,II-norm,0.0221,False,,True,II
ZTF19aakzash,ZTF19aakzash_20190304_P60_v1.ascii,II,II,II-norm,0.0316,False,,True,II
ZTF19aalbrgu,ZTF19aalbrgu_20190701_P60_v1.ascii,II,IIn,II-norm,0.0948,False,,True,SLSN-II
ZTF19aaloqmd,ZTF19aaloqmd_20190315_P200_v1.ascii,II,II,II-norm,0.0308,False,,True,II
ZTF19aamftfu,ZTF19aamftfu_20190316_P200_v1.ascii,II,IIn,II-norm,0.029,False,,True,IIP
ZTF19aamljom,ZTF19aamljom_20190530_P60_v1.ascii,II,II,II-norm,0.0202,False,,True,II
ZTF19aamvape,ZTF19aamvape_20190406_P60_v1.ascii,II,IIb,IIb,0.0434,False,,True,II
ZTF19aanfkyc,ZTF19aanfkyc_20190403_Keck1_v1.ascii,II,II,II-norm,0.0376,False,,True,II
ZTF19aanijyq,ZTF19aanijyq_20190406_Keck1_v1.ascii,II,II,II-norm,0.0435,False,,True,II
ZTF19aanqzle,ZTF19aanqzle_20190406_Keck1_v1.ascii,II,II,II-norm,0.0201,False,,True,II
ZTF19aanrrqu,ZTF19aanrrqu_20190407_P60_v1.ascii,II,II,II-norm,0.0222,False,,True,II
ZTF19aapfohi,ZTF19aapfohi_20190704_P200_v1.ascii,II,II,II-norm,0.036,False,,True,II
ZTF19aaprvar,ZTF19aaprvar_20190418_P60_v1.ascii,II,II,II-norm,0.0294,False,,True,II
ZTF19aapygmq,ZTF19aapygmq_20190424_P200_v1.ascii,II,II,II-norm,0.0276,False,,True,II
ZTF19aarfeok,ZTF19aarfeok_20190424_P200_v1.ascii,II,IIb,IIb,0.0384,False,,True,IIb
ZTF19aariwfe,ZTF19aariwfe_20190529_P60_v1.ascii,II,II,II-norm,0.0338,False,,True,II
ZTF19aarpymc,ZTF19aarpymc_20200924_P60_v1.ascii,II,IIn,II-norm,0.0783,False,,True,AGN
ZTF19aasmddt,ZTF19aasmddt_20190502_P200_v1.ascii,II,II,II-norm,0.0425,False,,True,II
ZTF19aatgxjy,ZTF19aatgxjy_20190529_LT_v1.ascii,II,II,II-norm,0.0399,False,,True,II
ZTF19aatlqdf,ZTF19aatlqdf_20190704_P200_v1.ascii,II,SLSN-IIn,II-norm,0.0704,False,,True,II
