ZTF_Name,spectra_file,sn_type,superfit_sn_type,zooniverse_sn_type,z_sn,in_rcfI,sn_type_rcfI,in_marshall,sn_type_marshall
ZTF19acjtpps,ZTF19acjtpps_20200218_Keck1_v1.ascii,II,II,II-norm,0.0379,False,,True,II
ZTF19acjutrw,ZTF19acjutrw_20191123_Keck1_v1.ascii,II,II,II-norm,0.0469,False,,True,IIn
ZTF19ackjene,ZTF19ackjene_20191124_P200_v1.ascii,II,II,IIb,0.0455,False,,True,IIb
ZTF19ackjrye,ZTF19ackjrye_20191223_Keck1_v1.ascii,II,II,II-norm,0.0377,False,,True,II
ZTF19ackjtfm,ZTF19ackjtfm_20191124_P200_v1.ascii,II,II,II-norm,0.041,False,,True,II
ZTF19ackjvtl,ZTF19ackjvtl_20191118_P60_v1.ascii,II,II,II-norm,0.0215,False,,True,IIP
ZTF19ackkwri,ZTF19ackkwri_20191123_Keck1_v1.ascii,II,II,II-norm,0.0446,False,,True,IIP
ZTF19ackyfqp,ZTF19ackyfqp_20191101_P60_v1.ascii,II,II,IIb,0.0362,False,,True,IIb
ZTF19ackzvdp,ZTF19ackzvdp_20210212_Keck1_v1.ascii,II,II,IIn,0.3054,False,,True,SLSN-II
ZTF19aclobbu,ZTF19aclobbu_20191124_P60_v1.ascii,II,II,II-norm,0.0189,False,,True,II
ZTF19acmoifg,ZTF19acmoifg_20191124_P60_v1.ascii,II,II,II-norm,0.0409,False,,True,II
ZTF19acmwfli,ZTF19acmwfli_20191219_P60_v1.ascii,II,IIn,II-norm,0.0315,False,,True,II
ZTF19acnphay,ZTF19acnphay_20191105_P200_v1.ascii,II,II,II-norm,0.014,False,,True,II
ZTF19acnxenx,ZTF19acnxenx_20191123_Keck1_v2.ascii,II,IIb,II-norm,0.0423,False,,True,IIP
ZTF19acoldzw,ZTF19acoldzw_20191124_P200_v2.ascii,II,II,II-norm,0.0374,False,,True,II
ZTF19acsbxem,ZTF19acsbxem_20200101_P200_v1.ascii,II,II,II-norm,0.0336,False,,True,II
ZTF19acsuqzf,ZTF19acsuqzf_20191124_P200_v1.ascii,II,II,II-norm,0.0394,False,,True,II
ZTF19actnyae,ZTF19actnyae_20191223_Keck1_v1.ascii,II,II,II-norm,0.0337,False,,True,II
ZTF19acvdmbf,ZTF19acvdmbf_20200101_P200_v2.ascii,II,II,II-norm,0.0419,False,,True,IIP
ZTF19acvrifg,ZTF19acvrifg_20200214_P200_v1.ascii,II,II,II-norm,0.0382,False,,True,IIP
ZTF19acvrjzd,ZTF19acvrjzd_20191224_LT_v2.ascii,II,II,II-norm,0.0399,False,,True,II
ZTF19acwrrvg,ZTF19acwrrvg_20191223_LT_v2.ascii,II,IIb,II-norm,0.0268,False,,True,II
ZTF19acxmfay,ZTF19acxmfay_20200103_P60_v2.ascii,II,II,II-norm,0.0368,False,,True,II
ZTF19acxowrr,ZTF19acxowrr_20200219_Keck1_v1.ascii,II,II,II-norm,0.0512,False,,True,II
ZTF19acxqaot,ZTF19acxqaot_20200225_APO_v1.ascii,II,IIn,IIn,0.0441,False,,True,IIn
ZTF19acyfsmv,ZTF19acyfsmv_20191221_P200_v1.ascii,II,IIn,II-norm,0.0386,False,,True,II
ZTF19acyplkt,ZTF19acyplkt_20200219_Keck1_v1.ascii,II,II,II-norm,0.0306,False,,True,IIP
ZTF19acyqeaw,ZTF19acyqeaw_20200101_P200_v1.ascii,II,II,II-norm,0.039,False,,True,IIP
ZTF19aczkkco,ZTF19aczkkco_20200219_P60_v1.ascii,II,II,II-norm,0.0202,False,,True,II
ZTF19adavwik,ZTF19adavwik_20200218_Keck1_v1.ascii,II,II,II-norm,0.0452,False,,True,II
ZTF19adavzew,ZTF19adavzew_20191230_LT_v1.ascii,II,II,II-norm,0.049,False,,True,II
ZTF19adcetym,ZTF19adcetym_20200512_P60_v1.ascii,II,IIn,II-norm,0.0619,False,,True,Ia
ZTF19adcfsoc,ZTF19adcfsoc_20210120_Keck1_v1.ascii,II,II,II-norm,0.3029,False,,True,SLSN-I.5
ZTF20aacbyec,ZTF20aacbyec_20200429_NOT_v1.ascii,II,II,IIn,0.0348,False,,True,IIn
ZTF20aacbyij,ZTF20aacbyij_20200104_P60_v1.ascii,II,II,II-norm,0.0313,False,,True,IIL
ZTF20aacbyoh,ZTF20aacbyoh_20200104_P60_v1.ascii,II,II,II-norm,0.0137,False,,True,II
ZTF20aacewxb,ZTF20aacewxb_20200116_P60_v1.ascii,II,IIb,IIb,0.0436,False,,True,II
ZTF20aacgrql,ZTF20aacgrql_20200129_P60_v1.ascii,II,IIn,II-norm,0.0639,False,,True,II
ZTF20aaczkyw,ZTF20aaczkyw_20200225_P200_v1.ascii,II,II,II-norm,0.0481,False,,True,IIP
ZTF20aadcbvz,ZTF20aadcbvz_20210211_Keck1_v1.ascii,II,IIn,IIn,0.1898,False,,True,SLSN-II
ZTF20aafclqz,ZTF20aafclqz_20200127_P60_v1.ascii,II,II,II-norm,0.0314,False,,True,II
ZTF20aafezcz,ZTF20aafezcz_20200127_P200_v1.ascii,II,II,II-norm,0.0304,False,,True,II
ZTF20aaflcny,ZTF20aaflcny_20200127_P200_v1.ascii,II,II,II-norm,0.0335,False,,True,II
ZTF20aahbamv,ZTF20aahbamv_20201118_P200_v1.ascii,II,IIn,IIn,0.0428,False,,True,II
ZTF20aahfqpm,ZTF20aahfqpm_20200214_P200_v1.ascii,II,II,II-norm,0.0308,False,,True,IIb
ZTF20aahirfz,ZTF20aahirfz_20200213_P60_v1.ascii,II,II,II-norm,0.0185,False,,True,IIP
ZTF20aajvyja,ZTF20aajvyja_20201012_Keck1_v1.ascii,II,IIn,IIn,0.0957,False,,True,SLSN-II
ZTF20aaksytb,ZTF20aaksytb_20200214_P200_v1.ascii,II,II,II-norm,0.0159,False,,True,IIP
ZTF20aalbtwh,ZTF20aalbtwh_20200215_P60_v1.ascii,II,IIb,IIb,0.0281,False,,True,II
ZTF20aambtea,ZTF20aambtea_20200227_Lick_3-m_v1.ascii,II,IIb,IIb,0.0158,False,,True,II
ZTF20aamsdxb,ZTF20aamsdxb_20200214_P200_v1.ascii,II,IIb,IIb,0.0375,False,,True,IIb
ZTF20aanadof,ZTF20aanadof_20200214_P60_v1.ascii,II,II,II-norm,0.0191,False,,True,IIP
ZTF20aapchqy,ZTF20aapchqy_20201019_Keck1_v1.ascii,II,II,II-norm,0.0033,False,,True,II
ZTF20aapycrh,ZTF20aapycrh_20200226_P200_v1.ascii,II,II,II-norm,0.0379,False,,True,II
ZTF20aarblcr,ZTF20aarblcr_20200307_P60_v1.ascii,II,II,IIn,0.0691,False,,True,II
ZTF20aaspvan,ZTF20aaspvan_20200416_P60_v2.ascii,II,II,II-norm,0.0422,False,,True,IIP
ZTF20aaswbty,ZTF20aaswbty_20200322_Keck1_v1.ascii,II,IIn,II-norm,0.0381,False,,True,II
ZTF20aatqene,ZTF20aatqene_20200821_Keck1_v1.ascii,II,II,II-norm,0.1292,False,,True,SLSN-II
ZTF20aatqesi,ZTF20aatqesi_20200815_NOT_v1.ascii,II,II,II-norm,0.0364,False,,True,II
ZTF20aatvupb,ZTF20aatvupb_20200415_P60_v1.ascii,II,II,II-norm,0.0421,False,,True,II
ZTF20aatxmcd,ZTF20aatxmcd_20200529_P200_v1.ascii,II,II,II-norm,0.0333,False,,True,II
ZTF20aatzhhl,ZTF20aatzhhl_20200415_P60_v1.ascii,II,IIn,II-norm,0.0131,False,,True,II
ZTF20aaulhtf,ZTF20aaulhtf_20200429_P60_v1.ascii,II,IIn,II-norm,0.0491,False,,True,NaN
ZTF20aaullwz,ZTF20aaullwz_20200516_P60_v1.ascii,II,II,II-norm,0.0185,False,,True,II
ZTF20aaumlmu,ZTF20aaumlmu_20200415_P60_v2.ascii,II,II,II-norm,0.0445,False,,True,II
ZTF20aauodrj,ZTF20aauodrj_20200426_P60_v1.ascii,II,II,II-norm,0.0185,False,,True,II
ZTF20aauodwr,ZTF20aauodwr_20200429_P60_v2.ascii,II,II,II-norm,0.0305,False,,True,II
ZTF20aauoipy,ZTF20aauoipy_20200501_LT_v1.ascii,II,II,II-norm,0.0253,False,,True,II
ZTF20aauoktk,ZTF20aauoktk_20200707_NOT_v1.ascii,II,II,II-norm,0.0687,False,,True,II
ZTF20aauompx,ZTF20aauompx_20200424_P60_v1.ascii,II,IIb,IIb,0.037,False,,True,II
ZTF20aaurgib,ZTF20aaurgib_20200529_P60_v1.ascii,II,II,II-norm,0.0241,False,,True,II
ZTF20aauwvdy,ZTF20aauwvdy_20200528_P200_v1.ascii,II,IIn,II-norm,0.0451,False,,True,NaN
ZTF20aavdcxo,ZTF20aavdcxo_20200504_P60_v1.ascii,II,IIb,II-norm,0.0559,False,,True,II
ZTF20aawmcrd,ZTF20aawmcrd_20200527_Lick_3-m_v1.ascii,II,II,II-norm,0.0251,False,,True,NaN
ZTF20aawxpru,ZTF20aawxpru_20200502_P60_v1.ascii,II,II,II-norm,0.0318,False,,True,II
ZTF20aawyglg,ZTF20aawyglg_20200528_P200_v1.ascii,II,II,II-norm,0.0512,False,,True,NaN
ZTF20aaycmhl,ZTF20aaycmhl_20200623_Keck1_v1.ascii,II,II,II-norm,0.0324,False,,True,II
ZTF20aaynrrh,ZTF20aaynrrh_20200617_P60_v1.ascii,II,II,II-norm,0.0076,False,,True,II
ZTF20aazrxef,ZTF20aazrxef_20200526_P60_v1.ascii,II,II,II-norm,0.0312,False,,True,II
ZTF20aazswwk,ZTF20aazswwk_20200628_P60_v1.ascii,II,IIn,II-norm,0.0354,False,,True,II
ZTF20abbpkpa,ZTF20abbpkpa_20200606_NOT_v1.ascii,II,II,II-norm,0.0322,False,,True,II
ZTF20abbqfoi,ZTF20abbqfoi_20200623_Keck1_v1.ascii,II,II,II-norm,0.0437,False,,True,II
ZTF20abegirf,ZTF20abegirf_20200718_P60_v1.ascii,II,II,II-norm,0.0451,False,,True,II
ZTF20abepklv,ZTF20abepklv_20200616_P60_v2.ascii,II,II,II-norm,0.0406,False,,True,II
ZTF20abevbxv,ZTF20abevbxv_20201022_P60_v1.ascii,II,II,II-norm,0.0064,False,,True,IIb
ZTF20abgoocl,ZTF20abgoocl_20200830_NOT_v1.ascii,II,IIn,II-norm,0.0664,False,,True,IIn
ZTF20abhjwvh,ZTF20abhjwvh_20200723_LT_v1.ascii,II,IIb,IIb,0.0145,False,,True,II
ZTF20abjonjs,ZTF20abjonjs_20200715_P60_v3.ascii,II,II,II-norm,0.0168,False,,True,IIP
ZTF20abjyryn,ZTF20abjyryn_20200807_NOT_v1.ascii,II,II,II-norm,0.0163,False,,True,II
ZTF20abliiex,ZTF20abliiex_20200821_Keck1_v1.ascii,II,IIn,IIn,0.0386,False,,True,II
ZTF20ablklei,ZTF20ablklei_20200809_P60_v1.ascii,II,II,II-norm,0.0298,False,,True,II
ZTF20ablqacl,ZTF20ablqacl_20200719_P60_v1.ascii,II,IIn,II-norm,0.0236,False,,True,II
ZTF20ablygyy,ZTF20ablygyy_20210121_Lick_3-m_v1.ascii,II,II,II-norm,0.0148,False,,True,II
ZTF20abmcxaf,ZTF20abmcxaf_20200915_P200_v1.ascii,II,II,IIn,0.029,False,,True,II
ZTF20abnnfpv,ZTF20abnnfpv_20200723_P60_v2.ascii,II,II,II-norm,0.041,False,,True,II
ZTF20abpfbih,ZTF20abpfbih_20200809_P60_v1.ascii,II,IIb,II-norm,0.0521,False,,True,-
ZTF20abpvhlg,ZTF20abpvhlg_20200916_P200_v1.ascii,II,II,II-norm,0.0475,False,,True,II
ZTF20abqdqyh,ZTF20abqdqyh_20200807_P60_v1.ascii,II,II,II-norm,0.0154,False,,True,II
ZTF20abqlmwn,ZTF20abqlmwn_20201017_P60_v1.ascii,II,II,II-norm,0.0267,False,,True,II
ZTF20abrcsdn,ZTF20abrcsdn_20200915_P200_v1.ascii,II,II,II-norm,0.0194,False,,True,II
ZTF20abuqali,ZTF20abuqali_20200830_P60_v2.ascii,II,II,II-norm,0.0415,False,,True,II
ZTF20abwftit,ZTF20abwftit_20201020_Keck1_v1.ascii,II,II,II-norm,0.049,False,,True,IIP
ZTF20abwzqzo,ZTF20abwzqzo_20200912_P60_v2.ascii,II,IIb,IIb,0.0275,False,,True,IIb
ZTF20abxmwwd,ZTF20abxmwwd_20200920_Keck1_v1.ascii,II,II,II-norm,0.0271,False,,True,IIP
ZTF20abywoaa,ZTF20abywoaa_20200920_Keck1_v1.ascii,II,II,II-norm,0.0497,False,,True,II
ZTF20abyzprl,ZTF20abyzprl_20200919_P60_v2.ascii,II,II,II-norm,0.041,False,,True,II
ZTF20abzoaas,ZTF20abzoaas_20200927_P60_v1.ascii,II,II,II-norm,0.0321,False,,True,II
ZTF20accdijx,ZTF20accdijx_20201004_P60_v1.ascii,II,II,II-norm,0.0265,False,,True,II
ZTF20acdkfjn,ZTF20acdkfjn_20201021_P200_v1.ascii,II,II,II-norm,0.054,False,,True,II
ZTF20acfdmex,ZTF20acfdmex_20201011_P60_v2.ascii,II,II,II-norm,0.0194,False,,True,II
ZTF20acfkyll,ZTF20acfkyll_20201021_P200_v1.ascii,II,II,IIb,0.0363,False,,True,II
ZTF20acfkzcg,ZTF20acfkzcg_20201111_P60_v1.ascii,II,II,II-norm,0.0199,False,,True,II
ZTF20acfwrln,ZTF20acfwrln_20201017_P60_v2.ascii,II,II,II-norm,0.017,False,,True,II
ZTF20acgoxns,ZTF20acgoxns_20201112_P60_v1.ascii,II,II,II-norm,0.0296,False,,True,II
ZTF20achvdtx,ZTF20achvdtx_20201018_P60_v1.ascii,II,II,II-norm,0.0307,False,,True,II
ZTF20acjbhhp,ZTF20acjbhhp_20201208_LT_v1.ascii,II,SLSN-IIn,II-norm,0.0502,False,,True,II
ZTF20aclfmwn,ZTF20aclfmwn_20201030_GTC_v1.ascii,II,IIb,IIb,0.0411,False,,True,IIb
ZTF20acnrvfm,ZTF20acnrvfm_20201115_P60_v1.ascii,II,IIn,II-norm,0.0257,False,,True,II
ZTF20acnznms,ZTF20acnznms_20201212_Keck1_v1.ascii,II,II,II-norm,0.203,False,,True,SLSN-II
ZTF20actawpa,ZTF20actawpa_20201207_LT_v1.ascii,II,II,II-norm,0.02,False,,True,II
ZTF21aaquyqa,ZTF21aaquyqa_20210513_P200_v1.ascii,II,IIb,IIb,0.0363,False,,True,IIb
ZTF21aawmtug,ZTF21aawmtug_20210510_NOT_v1.ascii,II,IIn,II-norm,0.0403,False,,True,II
ZTF21aawtewf,ZTF21aawtewf_20210513_NOT_v1.ascii,II,II,II-norm,0.0322,False,,True,Ia
ZTF21aaxxoei,ZTF21aaxxoei_20210513_NOT_v1.ascii,II,II,II-norm,0.0322,False,,True,II
